phrase,category,d_speeches,r_speeches,total,percent_of_d_speeches,percent_of_r_speeches,chi2,pval
education budget,education,2,3,5,8.7,11.11,0.072463768,0.787782743
education programs,education,2,3,5,8.7,11.11,0.072463768,0.787782743
legislation year, ,2,3,5,8.7,11.11,0.072463768,0.787782743
billions dollars,economy/fiscal issues,2,3,5,8.7,11.11,0.072463768,0.787782743
state continue, ,2,3,5,8.7,11.11,0.072463768,0.787782743
let just, ,2,3,5,8.7,11.11,0.072463768,0.787782743
outdoor recreation, ,2,3,5,8.7,11.11,0.072463768,0.787782743
level playing field, ,2,3,5,8.7,11.11,0.072463768,0.787782743
graduation rate,education,2,3,5,8.7,11.11,0.072463768,0.787782743
time history, ,2,3,5,8.7,11.11,0.072463768,0.787782743
good education,education,2,3,5,8.7,11.11,0.072463768,0.787782743
especially, ,15,16,31,65.22,59.26,0.071113189,0.789722821
companies,economy/fiscal issues,15,16,31,65.22,59.26,0.071113189,0.789722821
big, ,15,16,31,65.22,59.26,0.071113189,0.789722821
need, ,23,25,48,100,92.59,0.070987654,0.789904148
health,health care,23,25,48,100,92.59,0.070987654,0.789904148
making, ,23,25,48,100,92.59,0.070987654,0.789904148
economic,economy/fiscal issues,23,25,48,100,92.59,0.070987654,0.789904148
budget,economy/fiscal issues,23,25,48,100,92.59,0.070987654,0.789904148
students,education,23,25,48,100,92.59,0.070987654,0.789904148
investments, ,14,18,32,60.87,66.67,0.065217391,0.798431965
having, ,14,18,32,60.87,66.67,0.065217391,0.798431965
remember, ,14,18,32,60.87,66.67,0.065217391,0.798431965
reminder, ,5,5,10,21.74,18.52,0.064412238,0.799653425
rules, ,5,5,10,21.74,18.52,0.064412238,0.799653425
roads bridges, ,5,5,10,21.74,18.52,0.064412238,0.799653425
illness,health care,5,5,10,21.74,18.52,0.064412238,0.799653425
shot, ,5,5,10,21.74,18.52,0.064412238,0.799653425
technologies, ,5,5,10,21.74,18.52,0.064412238,0.799653425
previous, ,5,5,10,21.74,18.52,0.064412238,0.799653425
fiscally,economy/fiscal issues,5,5,10,21.74,18.52,0.064412238,0.799653425
tax credit,economy/fiscal issues,5,5,10,21.74,18.52,0.064412238,0.799653425
planning, ,5,5,10,21.74,18.52,0.064412238,0.799653425
supports, ,5,5,10,21.74,18.52,0.064412238,0.799653425
apprenticeship,education,5,5,10,21.74,18.52,0.064412238,0.799653425
leaving, ,5,5,10,21.74,18.52,0.064412238,0.799653425
apply, ,5,5,10,21.74,18.52,0.064412238,0.799653425
condition, ,5,5,10,21.74,18.52,0.064412238,0.799653425
net, ,5,5,10,21.74,18.52,0.064412238,0.799653425
attend, ,5,5,10,21.74,18.52,0.064412238,0.799653425
constituents, ,5,5,10,21.74,18.52,0.064412238,0.799653425
electricity, ,5,5,10,21.74,18.52,0.064412238,0.799653425
grew, ,5,5,10,21.74,18.52,0.064412238,0.799653425
nature, ,5,5,10,21.74,18.52,0.064412238,0.799653425
fast, ,5,5,10,21.74,18.52,0.064412238,0.799653425
common ground, ,5,5,10,21.74,18.52,0.064412238,0.799653425
knowledge, ,5,5,10,21.74,18.52,0.064412238,0.799653425
aggressive, ,5,5,10,21.74,18.52,0.064412238,0.799653425
contribute, ,5,5,10,21.74,18.52,0.064412238,0.799653425
beauty, ,5,5,10,21.74,18.52,0.064412238,0.799653425
26, ,5,5,10,21.74,18.52,0.064412238,0.799653425
400, ,5,5,10,21.74,18.52,0.064412238,0.799653425
couldn, ,5,5,10,21.74,18.52,0.064412238,0.799653425
assist, ,5,5,10,21.74,18.52,0.064412238,0.799653425
45, ,5,5,10,21.74,18.52,0.064412238,0.799653425
death, ,5,5,10,21.74,18.52,0.064412238,0.799653425
emerging, ,5,5,10,21.74,18.52,0.064412238,0.799653425
diverse, ,5,5,10,21.74,18.52,0.064412238,0.799653425
coming weeks, ,5,5,10,21.74,18.52,0.064412238,0.799653425
economy,economy/fiscal issues,22,24,46,95.65,88.89,0.061751733,0.803748375
days, ,14,15,29,60.87,55.56,0.060469765,0.805754992
person, ,14,15,29,60.87,55.56,0.060469765,0.805754992
ideas, ,14,15,29,60.87,55.56,0.060469765,0.805754992
met, ,14,15,29,60.87,55.56,0.060469765,0.805754992
join, ,14,15,29,60.87,55.56,0.060469765,0.805754992
love, ,14,15,29,60.87,55.56,0.060469765,0.805754992
assembly, ,10,13,23,43.48,48.15,0.058881187,0.808273088
employers,economy/fiscal issues,10,13,23,43.48,48.15,0.058881187,0.808273088
executive, ,10,13,23,43.48,48.15,0.058881187,0.808273088
happen, ,10,13,23,43.48,48.15,0.058881187,0.808273088
chamber, ,10,13,23,43.48,48.15,0.058881187,0.808273088
improving, ,10,13,23,43.48,48.15,0.058881187,0.808273088
senator, ,10,13,23,43.48,48.15,0.058881187,0.808273088
lowest, ,10,13,23,43.48,48.15,0.058881187,0.808273088
reading, ,6,8,14,26.09,29.63,0.055670577,0.81347447
track, ,6,8,14,26.09,29.63,0.055670577,0.81347447
150, ,6,8,14,26.09,29.63,0.055670577,0.81347447
body, ,6,8,14,26.09,29.63,0.055670577,0.81347447
20 years, ,6,8,14,26.09,29.63,0.055670577,0.81347447
prioritize, ,6,8,14,26.09,29.63,0.055670577,0.81347447
thank god bless, ,6,8,14,26.09,29.63,0.055670577,0.81347447
closing, ,6,8,14,26.09,29.63,0.055670577,0.81347447
vital, ,6,8,14,26.09,29.63,0.055670577,0.81347447
operations, ,6,8,14,26.09,29.63,0.055670577,0.81347447
gallery, ,6,8,14,26.09,29.63,0.055670577,0.81347447
supported, ,6,8,14,26.09,29.63,0.055670577,0.81347447
direct, ,6,8,14,26.09,29.63,0.055670577,0.81347447
property, ,6,8,14,26.09,29.63,0.055670577,0.81347447
willingness, ,6,8,14,26.09,29.63,0.055670577,0.81347447
enter, ,6,8,14,26.09,29.63,0.055670577,0.81347447
stand recognized, ,6,8,14,26.09,29.63,0.055670577,0.81347447
deal, ,6,8,14,26.09,29.63,0.055670577,0.81347447
partnerships, ,6,8,14,26.09,29.63,0.055670577,0.81347447
standing, ,6,8,14,26.09,29.63,0.055670577,0.81347447
state strong, ,6,8,14,26.09,29.63,0.055670577,0.81347447
actions, ,6,8,14,26.09,29.63,0.055670577,0.81347447
past year, ,6,8,14,26.09,29.63,0.055670577,0.81347447
best ideas, ,4,4,8,17.39,14.81,0.051529791,0.820422388
best state, ,4,4,8,17.39,14.81,0.051529791,0.820422388
ago stood, ,4,4,8,17.39,14.81,0.051529791,0.820422388
lt governor, ,4,4,8,17.39,14.81,0.051529791,0.820422388
work hard, ,4,4,8,17.39,14.81,0.051529791,0.820422388
state police,crime/justice,4,4,8,17.39,14.81,0.051529791,0.820422388
isn just, ,4,4,8,17.39,14.81,0.051529791,0.820422388
loved ones, ,4,4,8,17.39,14.81,0.051529791,0.820422388
people need, ,4,4,8,17.39,14.81,0.051529791,0.820422388
oath office, ,4,4,8,17.39,14.81,0.051529791,0.820422388
don think, ,4,4,8,17.39,14.81,0.051529791,0.820422388
members judiciary, ,4,4,8,17.39,14.81,0.051529791,0.820422388
want moment, ,4,4,8,17.39,14.81,0.051529791,0.820422388
tax relief,economy/fiscal issues,4,4,8,17.39,14.81,0.051529791,0.820422388
20, ,13,14,27,56.52,51.85,0.050158049,0.822788485
stronger, ,13,14,27,56.52,51.85,0.050158049,0.822788485
honor, ,13,14,27,56.52,51.85,0.050158049,0.822788485
welcome, ,13,14,27,56.52,51.85,0.050158049,0.822788485
entire, ,13,14,27,56.52,51.85,0.050158049,0.822788485
lot, ,13,14,27,56.52,51.85,0.050158049,0.822788485
approach, ,13,14,27,56.52,51.85,0.050158049,0.822788485
hundreds, ,13,14,27,56.52,51.85,0.050158049,0.822788485
possible, ,15,19,34,65.22,70.37,0.048498627,0.825696677
general, ,15,19,34,65.22,70.37,0.048498627,0.825696677
strong, ,20,22,42,86.96,81.48,0.044321754,0.833256127
dollars,economy/fiscal issues,20,22,42,86.96,81.48,0.044321754,0.833256127
legislature, ,20,22,42,86.96,81.48,0.044321754,0.833256127
continue, ,20,25,45,86.96,92.59,0.043836107,0.834158833
right, ,20,25,45,86.96,92.59,0.043836107,0.834158833
unemployment,economy/fiscal issues,12,13,25,52.17,48.15,0.040257649,0.840977663
legislation, ,12,13,25,52.17,48.15,0.040257649,0.840977663
millions, ,12,13,25,52.17,48.15,0.040257649,0.840977663
process, ,12,13,25,52.17,48.15,0.040257649,0.840977663
giving, ,12,13,25,52.17,48.15,0.040257649,0.840977663
criminal justice,crime/justice,12,13,25,52.17,48.15,0.040257649,0.840977663
half, ,12,13,25,52.17,48.15,0.040257649,0.840977663
decisions, ,12,13,25,52.17,48.15,0.040257649,0.840977663
higher education,education,11,14,25,47.83,51.85,0.040257649,0.840977663
officials, ,11,14,25,47.83,51.85,0.040257649,0.840977663
learn, ,11,14,25,47.83,51.85,0.040257649,0.840977663
large small, ,3,3,6,13.04,11.11,0.038647343,0.844148964
report state state, ,3,3,6,13.04,11.11,0.038647343,0.844148964
report state, ,3,3,6,13.04,11.11,0.038647343,0.844148964
health substance,health care,3,3,6,13.04,11.11,0.038647343,0.844148964
serve people, ,3,3,6,13.04,11.11,0.038647343,0.844148964
session let, ,3,3,6,13.04,11.11,0.038647343,0.844148964
corner state, ,3,3,6,13.04,11.11,0.038647343,0.844148964
guests fellow, ,3,3,6,13.04,11.11,0.038647343,0.844148964
constitutional amendment, ,3,3,6,13.04,11.11,0.038647343,0.844148964
grant program, ,3,3,6,13.04,11.11,0.038647343,0.844148964
state address, ,3,3,6,13.04,11.11,0.038647343,0.844148964
state forward, ,3,3,6,13.04,11.11,0.038647343,0.844148964
community leaders, ,3,3,6,13.04,11.11,0.038647343,0.844148964
state state address, ,3,3,6,13.04,11.11,0.038647343,0.844148964
state stronger, ,3,3,6,13.04,11.11,0.038647343,0.844148964
state work, ,3,3,6,13.04,11.11,0.038647343,0.844148964
funding formula, ,3,3,6,13.04,11.11,0.038647343,0.844148964
time come, ,3,3,6,13.04,11.11,0.038647343,0.844148964
round applause, ,3,3,6,13.04,11.11,0.038647343,0.844148964
today thank, ,3,3,6,13.04,11.11,0.038647343,0.844148964
internet access, ,3,3,6,13.04,11.11,0.038647343,0.844148964
took oath, ,3,3,6,13.04,11.11,0.038647343,0.844148964
today want, ,3,3,6,13.04,11.11,0.038647343,0.844148964
making difference, ,3,3,6,13.04,11.11,0.038647343,0.844148964
need support, ,3,3,6,13.04,11.11,0.038647343,0.844148964
months ago, ,3,3,6,13.04,11.11,0.038647343,0.844148964
fully fund,economy/fiscal issues,3,3,6,13.04,11.11,0.038647343,0.844148964
business leaders,economy/fiscal issues,3,3,6,13.04,11.11,0.038647343,0.844148964
budget includes,economy/fiscal issues,3,3,6,13.04,11.11,0.038647343,0.844148964
mr president mr, ,3,3,6,13.04,11.11,0.038647343,0.844148964
mental health substance,mental health/substance abuse,3,3,6,13.04,11.11,0.038647343,0.844148964
40 percent, ,3,3,6,13.04,11.11,0.038647343,0.844148964
work ve, ,3,3,6,13.04,11.11,0.038647343,0.844148964
people great state, ,3,3,6,13.04,11.11,0.038647343,0.844148964
people great, ,3,3,6,13.04,11.11,0.038647343,0.844148964
schools need,education,3,3,6,13.04,11.11,0.038647343,0.844148964
students graduate,education,3,3,6,13.04,11.11,0.038647343,0.844148964
path forward, ,3,3,6,13.04,11.11,0.038647343,0.844148964
elementary school,education,3,3,6,13.04,11.11,0.038647343,0.844148964
cut taxes,economy/fiscal issues,3,3,6,13.04,11.11,0.038647343,0.844148964
meet needs, ,3,3,6,13.04,11.11,0.038647343,0.844148964
million year, ,3,3,6,13.04,11.11,0.038647343,0.844148964
president mr, ,3,3,6,13.04,11.11,0.038647343,0.844148964
president mr speaker, ,3,3,6,13.04,11.11,0.038647343,0.844148964
new program, ,3,3,6,13.04,11.11,0.038647343,0.844148964
colleges universities,education,3,3,6,13.04,11.11,0.038647343,0.844148964
african american, ,3,3,6,13.04,11.11,0.038647343,0.844148964
want recognize, ,3,3,6,13.04,11.11,0.038647343,0.844148964
led nation, ,3,3,6,13.04,11.11,0.038647343,0.844148964
new taxes,economy/fiscal issues,3,3,6,13.04,11.11,0.038647343,0.844148964
money,economy/fiscal issues,19,21,40,82.61,77.78,0.036231884,0.849037424
lives, ,19,21,40,82.61,77.78,0.036231884,0.849037424
use, ,16,20,36,69.57,74.07,0.035068885,0.851451387
building, ,16,20,36,69.57,74.07,0.035068885,0.851451387
ahead, ,16,20,36,69.57,74.07,0.035068885,0.851451387
income,economy/fiscal issues,16,20,36,69.57,74.07,0.035068885,0.851451387
did, ,16,20,36,69.57,74.07,0.035068885,0.851451387
leaders, ,16,20,36,69.57,74.07,0.035068885,0.851451387
public, ,21,26,47,91.3,96.3,0.032925618,0.856011099
way, ,21,26,47,91.3,96.3,0.032925618,0.856011099
help, ,21,26,47,91.3,96.3,0.032925618,0.856011099
governor, ,21,26,47,91.3,96.3,0.032925618,0.856011099
justices, ,7,9,16,30.43,33.33,0.032608696,0.856698213
2020, ,7,9,16,30.43,33.33,0.032608696,0.856698213
teach, ,7,9,16,30.43,33.33,0.032608696,0.856698213
legacy, ,7,9,16,30.43,33.33,0.032608696,0.856698213
received, ,7,9,16,30.43,33.33,0.032608696,0.856698213
tech, ,7,9,16,30.43,33.33,0.032608696,0.856698213
broken, ,7,9,16,30.43,33.33,0.032608696,0.856698213
brings, ,7,9,16,30.43,33.33,0.032608696,0.856698213
doubt, ,7,9,16,30.43,33.33,0.032608696,0.856698213
abuse, ,7,9,16,30.43,33.33,0.032608696,0.856698213
resource, ,7,9,16,30.43,33.33,0.032608696,0.856698213
increases, ,7,9,16,30.43,33.33,0.032608696,0.856698213
grant, ,7,9,16,30.43,33.33,0.032608696,0.856698213
balance, ,7,9,16,30.43,33.33,0.032608696,0.856698213
public private, ,7,9,16,30.43,33.33,0.032608696,0.856698213
tackle, ,7,9,16,30.43,33.33,0.032608696,0.856698213
seeking, ,7,9,16,30.43,33.33,0.032608696,0.856698213
representative, ,7,9,16,30.43,33.33,0.032608696,0.856698213
privilege, ,7,9,16,30.43,33.33,0.032608696,0.856698213
court, ,11,12,23,47.83,44.44,0.030875866,0.860517615
transportation, ,11,12,23,47.83,44.44,0.030875866,0.860517615
saw, ,11,12,23,47.83,44.44,0.030875866,0.860517615
changing, ,11,12,23,47.83,44.44,0.030875866,0.860517615
tomorrow, ,11,12,23,47.83,44.44,0.030875866,0.860517615
raising, ,11,12,23,47.83,44.44,0.030875866,0.860517615
expand, ,18,20,38,78.26,74.07,0.028646495,0.865597835
open business,economy/fiscal issues,3,4,7,13.04,14.81,0.027835289,0.867496644
budget proposal,economy/fiscal issues,3,4,7,13.04,14.81,0.027835289,0.867496644
family friends, ,3,4,7,13.04,14.81,0.027835289,0.867496644
speaker members, ,3,4,7,13.04,14.81,0.027835289,0.867496644
fastest growing,economy/fiscal issues,3,4,7,13.04,14.81,0.027835289,0.867496644
million dollar,economy/fiscal issues,3,4,7,13.04,14.81,0.027835289,0.867496644
states country, ,3,4,7,13.04,14.81,0.027835289,0.867496644
number state, ,3,4,7,13.04,14.81,0.027835289,0.867496644
100 percent, ,3,4,7,13.04,14.81,0.027835289,0.867496644
property tax,economy/fiscal issues,3,4,7,13.04,14.81,0.027835289,0.867496644
60 percent, ,3,4,7,13.04,14.81,0.027835289,0.867496644
president trump, ,3,4,7,13.04,14.81,0.027835289,0.867496644
makes sense, ,3,4,7,13.04,14.81,0.027835289,0.867496644
make mistake, ,3,4,7,13.04,14.81,0.027835289,0.867496644
pro tem, ,3,4,7,13.04,14.81,0.027835289,0.867496644
make lives, ,3,4,7,13.04,14.81,0.027835289,0.867496644
make government, ,3,4,7,13.04,14.81,0.027835289,0.867496644
dollars new, ,3,4,7,13.04,14.81,0.027835289,0.867496644
let tell, ,3,4,7,13.04,14.81,0.027835289,0.867496644
better future, ,3,4,7,13.04,14.81,0.027835289,0.867496644
single year, ,3,4,7,13.04,14.81,0.027835289,0.867496644
200 million, ,3,4,7,13.04,14.81,0.027835289,0.867496644
40 000, ,3,4,7,13.04,14.81,0.027835289,0.867496644
50 years, ,3,4,7,13.04,14.81,0.027835289,0.867496644
ground, ,12,15,27,52.17,55.56,0.026301664,0.87116578
legislators, ,12,15,27,52.17,55.56,0.026301664,0.87116578
spending,economy/fiscal issues,12,15,27,52.17,55.56,0.026301664,0.87116578
power, ,12,15,27,52.17,55.56,0.026301664,0.87116578
long term, ,12,15,27,52.17,55.56,0.026301664,0.87116578
isn, ,12,15,27,52.17,55.56,0.026301664,0.87116578
justice, ,17,21,38,73.91,77.78,0.024408848,0.875849119
college,education,17,21,38,73.91,77.78,0.024408848,0.875849119
today, ,22,27,49,95.65,100,0.023957409,0.876993331
families, ,22,27,49,95.65,100,0.023957409,0.876993331
better, ,22,27,49,95.65,100,0.023957409,0.876993331
dream, ,10,11,21,43.48,40.74,0.022160877,0.881659923
historic, ,10,11,21,43.48,40.74,0.022160877,0.881659923
told, ,10,11,21,43.48,40.74,0.022160877,0.881659923
places, ,10,11,21,43.48,40.74,0.022160877,0.881659923
north, ,10,11,21,43.48,40.74,0.022160877,0.881659923
control, ,10,11,21,43.48,40.74,0.022160877,0.881659923
15, ,10,11,21,43.48,40.74,0.022160877,0.881659923
mean, ,10,11,21,43.48,40.74,0.022160877,0.881659923
nearly, ,17,19,36,73.91,70.37,0.021649669,0.883022888
term, ,17,19,36,73.91,70.37,0.021649669,0.883022888
success, ,17,19,36,73.91,70.37,0.021649669,0.883022888
technical, ,8,10,18,34.78,37.04,0.017534443,0.894653929
partnership, ,8,10,18,34.78,37.04,0.017534443,0.894653929
spirit, ,8,10,18,34.78,37.04,0.017534443,0.894653929
keeping, ,8,10,18,34.78,37.04,0.017534443,0.894653929
solve, ,8,10,18,34.78,37.04,0.017534443,0.894653929
state history, ,8,10,18,34.78,37.04,0.017534443,0.894653929
comprehensive, ,8,10,18,34.78,37.04,0.017534443,0.894653929
decade, ,8,10,18,34.78,37.04,0.017534443,0.894653929
talent, ,8,10,18,34.78,37.04,0.017534443,0.894653929
time, ,23,26,49,100,96.3,0.017384732,0.89510201
year, ,23,26,49,100,96.3,0.017384732,0.89510201
opportunity, ,23,26,49,100,96.3,0.017384732,0.89510201
like, ,23,26,49,100,96.3,0.017384732,0.89510201
know, ,23,26,49,100,96.3,0.017384732,0.89510201
just, ,23,26,49,100,96.3,0.017384732,0.89510201
best, ,23,26,49,100,96.3,0.017384732,0.89510201
high, ,23,26,49,100,96.3,0.017384732,0.89510201
lead, ,18,22,40,78.26,81.48,0.01610306,0.899021263
businesses,economy/fiscal issues,18,22,40,78.26,81.48,0.01610306,0.899021263
stand, ,18,22,40,78.26,81.48,0.01610306,0.899021263
local, ,18,22,40,78.26,81.48,0.01610306,0.899021263
leader, ,13,16,29,56.52,59.26,0.016047532,0.899194584
issue, ,13,16,29,56.52,59.26,0.016047532,0.899194584
ways, ,16,18,34,69.57,66.67,0.015345269,0.901413439
bless god bless, ,9,10,19,39.13,37.04,0.014323248,0.904736825
national guard, ,9,10,19,39.13,37.04,0.014323248,0.904736825
initiative, ,9,10,19,39.13,37.04,0.014323248,0.904736825
expanded, ,9,10,19,39.13,37.04,0.014323248,0.904736825
agency, ,9,10,19,39.13,37.04,0.014323248,0.904736825
market,economy/fiscal issues,9,10,19,39.13,37.04,0.014323248,0.904736825
labor,economy/fiscal issues,9,10,19,39.13,37.04,0.014323248,0.904736825
bringing, ,9,10,19,39.13,37.04,0.014323248,0.904736825
benefit, ,9,10,19,39.13,37.04,0.014323248,0.904736825
funded,economy/fiscal issues,9,10,19,39.13,37.04,0.014323248,0.904736825
secretary, ,9,10,19,39.13,37.04,0.014323248,0.904736825
existing, ,9,10,19,39.13,37.04,0.014323248,0.904736825
heart, ,9,10,19,39.13,37.04,0.014323248,0.904736825
amazing, ,9,10,19,39.13,37.04,0.014323248,0.904736825
earned, ,9,10,19,39.13,37.04,0.014323248,0.904736825
value, ,9,10,19,39.13,37.04,0.014323248,0.904736825
propose, ,9,10,19,39.13,37.04,0.014323248,0.904736825
mr speaker, ,9,10,19,39.13,37.04,0.014323248,0.904736825
president, ,22,25,47,95.65,92.59,0.01236852,0.91144677
good, ,22,25,47,95.65,92.59,0.01236852,0.91144677
create, ,22,25,47,95.65,92.59,0.01236852,0.91144677
nation, ,22,25,47,95.65,92.59,0.01236852,0.91144677
schools,education,22,25,47,95.65,92.59,0.01236852,0.91144677
speaker, ,22,25,47,95.65,92.59,0.01236852,0.91144677
state state, ,15,17,32,65.22,62.96,0.009863124,0.920889549
thing, ,15,17,32,65.22,62.96,0.009863124,0.920889549
long, ,19,23,42,82.61,85.19,0.009815198,0.921081356
highest, ,14,17,31,60.87,62.96,0.008778765,0.925351393
led, ,14,17,31,60.87,62.96,0.008778765,0.925351393
getting, ,14,17,31,60.87,62.96,0.008778765,0.925351393
talk, ,14,17,31,60.87,62.96,0.008778765,0.925351393
ll work, ,4,5,9,17.39,18.52,0.008767221,0.925400344
don want, ,4,5,9,17.39,18.52,0.008767221,0.925400344
status quo, ,4,5,9,17.39,18.52,0.008767221,0.925400344
tax code,economy/fiscal issues,4,5,9,17.39,18.52,0.008767221,0.925400344
day day, ,4,5,9,17.39,18.52,0.008767221,0.925400344
schools state,education,4,5,9,17.39,18.52,0.008767221,0.925400344
mental health services,mental health/substance abuse,4,5,9,17.39,18.52,0.008767221,0.925400344
medicaid expansion,health care,4,5,9,17.39,18.52,0.008767221,0.925400344
year let, ,4,5,9,17.39,18.52,0.008767221,0.925400344
mental illness,mental health/substance abuse,4,5,9,17.39,18.52,0.008767221,0.925400344
hard working, ,4,5,9,17.39,18.52,0.008767221,0.925400344
make difference, ,4,5,9,17.39,18.52,0.008767221,0.925400344
department labor, ,4,5,9,17.39,18.52,0.008767221,0.925400344
systems, ,9,11,20,39.13,40.74,0.00805153,0.928501524
500, ,9,11,20,39.13,40.74,0.00805153,0.928501524
guard, ,9,11,20,39.13,40.74,0.00805153,0.928501524
bless god, ,9,11,20,39.13,40.74,0.00805153,0.928501524
classrooms,education,9,11,20,39.13,40.74,0.00805153,0.928501524
kind, ,9,11,20,39.13,40.74,0.00805153,0.928501524
strength, ,9,11,20,39.13,40.74,0.00805153,0.928501524
god bless god, ,9,11,20,39.13,40.74,0.00805153,0.928501524
rise, ,9,11,20,39.13,40.74,0.00805153,0.928501524
hold, ,9,11,20,39.13,40.74,0.00805153,0.928501524
proposing, ,9,11,20,39.13,40.74,0.00805153,0.928501524
code, ,8,9,17,34.78,33.33,0.007672634,0.930199709
outcomes, ,8,9,17,34.78,33.33,0.007672634,0.930199709
transparency, ,8,9,17,34.78,33.33,0.007672634,0.930199709
opening, ,8,9,17,34.78,33.33,0.007672634,0.930199709
promote, ,8,9,17,34.78,33.33,0.007672634,0.930199709
fewer, ,8,9,17,34.78,33.33,0.007672634,0.930199709
thank god, ,8,9,17,34.78,33.33,0.007672634,0.930199709
clear, ,14,16,30,60.87,59.26,0.005367687,0.941595643
different, ,14,16,30,60.87,59.26,0.005367687,0.941595643
important, ,20,24,44,86.96,88.89,0.005270092,0.942128087
provide, ,20,24,44,86.96,88.89,0.005270092,0.942128087
needs, ,20,24,44,86.96,88.89,0.005270092,0.942128087
look, ,20,24,44,86.96,88.89,0.005270092,0.942128087
world, ,20,23,43,86.96,85.19,0.004531326,0.946330836
0, ,20,23,43,86.96,85.19,0.004531326,0.946330836
commitment, ,15,18,33,65.22,66.67,0.003952569,0.949870453
creating, ,15,18,33,65.22,66.67,0.003952569,0.949870453
areas, ,15,18,33,65.22,66.67,0.003952569,0.949870453
career,economy/fiscal issues,15,18,33,65.22,66.67,0.003952569,0.949870453
looking, ,15,18,33,65.22,66.67,0.003952569,0.949870453
critical, ,15,18,33,65.22,66.67,0.003952569,0.949870453
infrastructure, ,15,18,33,65.22,66.67,0.003952569,0.949870453
energy,energy/environment,15,18,33,65.22,66.67,0.003952569,0.949870453
house, ,15,18,33,65.22,66.67,0.003952569,0.949870453
public education,education,7,8,15,30.43,29.63,0.002683843,0.958683416
lose, ,7,8,15,30.43,29.63,0.002683843,0.958683416
idea, ,7,8,15,30.43,29.63,0.002683843,0.958683416
launched, ,7,8,15,30.43,29.63,0.002683843,0.958683416
relief, ,7,8,15,30.43,29.63,0.002683843,0.958683416
added, ,7,8,15,30.43,29.63,0.002683843,0.958683416
proposals, ,7,8,15,30.43,29.63,0.002683843,0.958683416
low income,economy/fiscal issues,7,8,15,30.43,29.63,0.002683843,0.958683416
train, ,7,8,15,30.43,29.63,0.002683843,0.958683416
try, ,7,8,15,30.43,29.63,0.002683843,0.958683416
signed, ,7,8,15,30.43,29.63,0.002683843,0.958683416
courage, ,7,8,15,30.43,29.63,0.002683843,0.958683416
sitting, ,7,8,15,30.43,29.63,0.002683843,0.958683416
13, ,7,8,15,30.43,29.63,0.002683843,0.958683416
corner, ,7,8,15,30.43,29.63,0.002683843,0.958683416
teaching,education,7,8,15,30.43,29.63,0.002683843,0.958683416
information, ,7,8,15,30.43,29.63,0.002683843,0.958683416
differences, ,7,8,15,30.43,29.63,0.002683843,0.958683416
member, ,7,8,15,30.43,29.63,0.002683843,0.958683416
17, ,7,8,15,30.43,29.63,0.002683843,0.958683416
degree, ,10,12,22,43.48,44.44,0.002635046,0.959060411
police,crime/justice,10,12,22,43.48,44.44,0.002635046,0.959060411
american, ,10,12,22,43.48,44.44,0.002635046,0.959060411
homes, ,10,12,22,43.48,44.44,0.002635046,0.959060411
capital,economy/fiscal issues,10,12,22,43.48,44.44,0.002635046,0.959060411
unique, ,10,12,22,43.48,44.44,0.002635046,0.959060411
prosperity,economy/fiscal issues,10,12,22,43.48,44.44,0.002635046,0.959060411
step, ,13,15,28,56.52,55.56,0.002070393,0.963707519
achieve, ,13,15,28,56.52,55.56,0.002070393,0.963707519
responsibility, ,13,15,28,56.52,55.56,0.002070393,0.963707519
difference, ,13,15,28,56.52,55.56,0.002070393,0.963707519
team, ,13,15,28,56.52,55.56,0.002070393,0.963707519
instead, ,13,15,28,56.52,55.56,0.002070393,0.963707519
problem, ,13,15,28,56.52,55.56,0.002070393,0.963707519
effort, ,13,15,28,56.52,55.56,0.002070393,0.963707519
months, ,13,15,28,56.52,55.56,0.002070393,0.963707519
office, ,19,22,41,82.61,81.48,0.001924512,0.965008618
products, ,5,6,11,21.74,22.22,0.001317523,0.971044984
announce, ,5,6,11,21.74,22.22,0.001317523,0.971044984
million new, ,5,6,11,21.74,22.22,0.001317523,0.971044984
shown, ,5,6,11,21.74,22.22,0.001317523,0.971044984
help people, ,5,6,11,21.74,22.22,0.001317523,0.971044984
eye, ,5,6,11,21.74,22.22,0.001317523,0.971044984
taught, ,5,6,11,21.74,22.22,0.001317523,0.971044984
preparing, ,5,6,11,21.74,22.22,0.001317523,0.971044984
standard, ,5,6,11,21.74,22.22,0.001317523,0.971044984
imagine, ,5,6,11,21.74,22.22,0.001317523,0.971044984
positions, ,5,6,11,21.74,22.22,0.001317523,0.971044984
named, ,5,6,11,21.74,22.22,0.001317523,0.971044984
mom, ,5,6,11,21.74,22.22,0.001317523,0.971044984
fields, ,5,6,11,21.74,22.22,0.001317523,0.971044984
closely, ,5,6,11,21.74,22.22,0.001317523,0.971044984
outdoor, ,5,6,11,21.74,22.22,0.001317523,0.971044984
obligation, ,5,6,11,21.74,22.22,0.001317523,0.971044984
strategic, ,5,6,11,21.74,22.22,0.001317523,0.971044984
strategies, ,5,6,11,21.74,22.22,0.001317523,0.971044984
state state strong, ,5,6,11,21.74,22.22,0.001317523,0.971044984
party, ,5,6,11,21.74,22.22,0.001317523,0.971044984
000 year, ,5,6,11,21.74,22.22,0.001317523,0.971044984
common sense, ,5,6,11,21.74,22.22,0.001317523,0.971044984
