Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,2020 Election Stance,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women
Phil Covarrubias,Male,Latino (Mexican),,,No,No,Texas,3/1/22,Representative,38,228,0%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Alex Cross,Male,Unknown,,,No,No,Texas,3/1/22,Representative,38,460,1%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Jerry Ford,Male,Black,,,No,No,Texas,3/1/22,Representative,38,997,2%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Brett Guillory,Male,White,,,No,No,Texas,3/1/22,Representative,38,"1,416",2%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
David Hogan,Male,White,,,No,No,Texas,3/1/22,Representative,38,"3,125",5%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Wesley Hunt,Male,Black,,,No,No,Texas,3/1/22,Representative,38,"35,291",55%,Won,N/A,N/A,N/A,No comment,Yes,2/17/22,N/A,Yes,N/A,N/A,N/A,N/A,N/A
Roland Lopez,Male,Latino,,,No,No,Texas,3/1/22,Representative,38,"2,048",3%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Damien Matthew Peter Mockus,Male,White,,,No,No,Texas,3/1/22,Representative,38,249,0%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Mark Ramsey,Male,White,,,No,No,Texas,3/1/22,Representative,38,"19,352",30%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Richard Welch,Male,White,,,No,No,Texas,3/1/22,Representative,38,633,1%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Greg Abbott,Male,White,,,Yes,No,Texas,3/1/22,Governor,N/A,"1,299,059",66%,Won,N/A,N/A,N/A,Raised questions,Yes,6/1/21,N/A,Yes,N/A,N/A,N/A,N/A,N/A
Paul Belew,Male,White,,,No,Yes,Texas,3/1/22,Governor,N/A,"11,387",1%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Danny Harrison,Male,White,,,No,Yes,Texas,3/1/22,Governor,N/A,"10,829",1%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Kandy Kaye Horn,Female,White,,,No,Yes,Texas,3/1/22,Governor,N/A,"23,605",1%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Don Huffines,Male,White,,,No,Yes,Texas,3/1/22,Governor,N/A,"234,138",12%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Rick Perry,Male,Unknown,,,No,Yes,Texas,3/1/22,Governor,N/A,"61,424",3%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Chad Prather,Male,White,,,No,Yes,Texas,3/1/22,Governor,N/A,"74,173",4%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Allen B. West,Male,Black,,,No,Yes,Texas,3/1/22,Governor,N/A,"239,557",12%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Todd Young,Male,White,,,Yes,No,Indiana,5/3/22,Senator,N/A,"372,738",100%,Won,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A
Jennifer-Ruth Green,Female,Black,,,No,No,Indiana,5/3/22,Representative,1,"14,616",47%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Mark Leyva,Male,Latino (Mexican),,,No,No,Indiana,5/3/22,Representative,1,"4,173",13%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Martin Lucas,Male,White,,,No,No,Indiana,5/3/22,Representative,1,"1,114",4%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Blair E. Milo,Female,White,,,No,No,Indiana,5/3/22,Representative,1,"6,964",22%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A
Nicholas Pappas,Male,White,,,No,No,Indiana,5/3/22,Representative,1,"2,409",8%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Ben Ruiz,Male,Latino (Puerto Rican),,,No,No,Indiana,5/3/22,Representative,1,"1,054",3%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Aaron Storer,Male,White,,,No,No,Indiana,5/3/22,Representative,1,692,2%,Lost,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A
Jackie Walorski,Female,White,,,Yes,No,Indiana,5/3/22,Representative,2,"36,928",100%,Won,N/A,N/A,N/A,Fully denied,Yes,4/29/22,N/A,N/A,N/A,N/A,Yes,Yes,N/A
Jim Banks,Male,White,,,Yes,No,Indiana,5/3/22,Representative,3,"54,033",100%,Won,N/A,N/A,N/A,Accepted with reservations,Yes,4/27/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jim Baird,Male,White,,,Yes,No,Indiana,5/3/22,Representative,4,"50,342",100%,Won,N/A,N/A,N/A,Fully denied,Yes,4/29/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Victoria Spartz,Female,White,,,Yes,No,Indiana,5/3/22,Representative,5,"47,128",100%,Won,N/A,N/A,N/A,Fully accepted,Yes,4/29/22,N/A,N/A,N/A,N/A,Yes,Yes,N/A
James Dean Alspach,Male,White,,,No,Yes,Indiana,5/3/22,Representative,6,"12,923",22%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Greg Pence,Male,White,,,Yes,No,Indiana,5/3/22,Representative,6,"44,893",78%,Won,N/A,N/A,N/A,Fully denied,Yes,4/29/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bill Allen,Male,White,,,No,No,Indiana,5/3/22,Representative,7,"1,505",12%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Angela Grabovsky,Female,White,,,No,No,Indiana,5/3/22,Representative,7,"6,886",54%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Russell ""Rusty"" Scott Johnson",Male,White,,,No,No,Indiana,5/3/22,Representative,7,"2,185",17%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jennifer Pace,Female,White,,,No,No,Indiana,5/3/22,Representative,7,"1,556",12%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gerald Walters,Male,White,,,No,No,Indiana,5/3/22,Representative,7,722,6%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Larry D. Bucshon,Male,White,,,Yes,No,Indiana,5/3/22,Representative,8,"47,557",100%,Won,N/A,N/A,N/A,Fully accepted,Yes,4/29/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jim Baker,Male,White,,,No,No,Indiana,5/3/22,Representative,9,"2,946",5%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,No,No,No
Stu Barnes-Israel,Male,White,,,No,No,Indiana,5/3/22,Representative,9,"12,193",21%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,No,No,No
J. Michael Davisson,Male,White,,,No,No,Indiana,5/3/22,Representative,9,"1,597",3%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,No,No,No
Dan Heiwig,Male,White,,,No,No,Indiana,5/3/22,Representative,9,919,2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,No,No,No
Erin Houchin,Female,White,,,No,No,Indiana,5/3/22,Representative,9,"21,697",37%,Won,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes
D. Eric Schansberg,Male,White,,,No,No,Indiana,5/3/22,Representative,9,"1,559",3%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,No,No,No
Mike Sodrel,Male,White,,,No,No,Indiana,5/3/22,Representative,9,"15,008",26%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,No,No,No
Bill J. Thomas,Male,White,,,No,No,Indiana,5/3/22,Representative,9,756,1%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,No,No,No
Brian Tibbs,Male,White,,,No,No,Indiana,5/3/22,Representative,9,"1,461",3%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,No,No,No
Matt Dolan,Male,White,,,No,No,Ohio,5/3/22,Senator,N/A,"249,239",23%,Lost,N/A,N/A,N/A,Accepted with reservations,No,N/A,No,N/A,N/A,N/A,No,No,No
Mike Gibbons,Male,White,,,No,No,Ohio,5/3/22,Senator,N/A,"124,653",12%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,No,N/A,N/A,N/A,No,No,No
Josh Mandel,Male,White,,,No,No,Ohio,5/3/22,Senator,N/A,"255,854",24%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,Yes,N/A,N/A,N/A,No,No,No
Neil Patel,Male,Asian (Indian),,,No,No,Ohio,5/3/22,Senator,N/A,"9,873",1%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,No,N/A,N/A,N/A,No,No,No
Mark Pukita,Male,White,,,No,No,Ohio,5/3/22,Senator,N/A,"22,692",2%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,No,N/A,N/A,N/A,No,No,No
Jane Timken,Female,White,,,No,No,Ohio,5/3/22,Senator,N/A,"62,779",6%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,No,N/A,N/A,N/A,Yes,Yes,Yes
J.D. Vance,Male,White,,,No,No,Ohio,5/3/22,Senator,N/A,"344,736",32%,Won,N/A,N/A,N/A,Fully denied,Yes,4/15/22,No,N/A,N/A,N/A,No,No,No
Steve Chabot,Male,White,,,Yes,No,Ohio,5/3/22,Representative,1,"45,450",100%,Won,N/A,N/A,N/A,Fully denied,Yes,4/23/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
James J. Condit Jr.,Male,White,,,No,Yes,Ohio,5/3/22,Representative,2,"9,250",13%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brad Wenstrup,Male,White,,,Yes,No,Ohio,5/3/22,Representative,2,"56,805",77%,Won,N/A,N/A,N/A,Accepted with reservations,Yes,4/21/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David J. Windisch,Male,Unknown,,,No,Yes,Ohio,5/3/22,Representative,2,"7,382",10%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lee R. Stahley,Male,White,,,No,No,Ohio,5/3/22,Representative,3,"30,250",100%,Won,N/A,N/A,N/A,Avoided answering,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jim Jordan,Male,White,,,Yes,No,Ohio,5/3/22,Representative,4,"86,576",100%,Won,N/A,N/A,N/A,Fully denied,Yes,4/6/22,N/A,N/A,No,N/A,N/A,N/A,N/A
Bob Latta,Male,White,,,Yes,No,Ohio,5/3/22,Representative,5,"69,981",100%,Won,N/A,N/A,N/A,Accepted with reservations,Yes,4/29/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Anderson,Male,White,,,No,Yes,Ohio,5/3/22,Representative,6,"9,772",12%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bill Johnson,Male,White,,,Yes,No,Ohio,5/3/22,Representative,6,"63,578",78%,Won,N/A,N/A,N/A,Fully denied,Yes,4/21/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael S. Morgenstern,Male,White,,,No,Yes,Ohio,5/3/22,Representative,6,"5,466",7%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gregory M. Zelenitz,Male,White,,,No,Yes,Ohio,5/3/22,Representative,6,"2,736",3%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthony Leon Alexander,Male,Black,,,No,No,Ohio,5/3/22,Representative,7,"3,033",5%,Lost,N/A,N/A,N/A,No comment,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Charlie Gaddis,Male,White,,,No,No,Ohio,5/3/22,Representative,7,"5,581",9%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Max Miller,Male,White,,,No,No,Ohio,5/3/22,Representative,7,"43,158",72%,Won,N/A,N/A,N/A,Fully denied,Yes,2/26/21,Yes,N/A,N/A,N/A,N/A,N/A,N/A
Jonah Schulz,Male,White,,,No,No,Ohio,5/3/22,Representative,7,"8,325",14%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Warren Davidson,Male,White,,,Yes,No,Ohio,5/3/22,Representative,8,"50,372",72%,Won,N/A,N/A,N/A,Fully denied,Yes,2/9/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phil Heimlich,Male,White,,,No,Yes,Ohio,5/3/22,Representative,8,"19,230",28%,Lost,N/A,N/A,N/A,Fully accepted,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beth Deck,Female,White,,,No,No,Ohio,5/3/22,Representative,9,"2,931",5%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No
Theresa Gavarone,Female,White,,,No,No,Ohio,5/3/22,Representative,9,"17,542",29%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes
J.R. Majewski,Male,White,,,No,No,Ohio,5/3/22,Representative,9,"21,850",36%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No
Craig S. Riedel,Male,White,,,No,No,Ohio,5/3/22,Representative,9,"18,757",31%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No
Mike Turner,Male,White,,,Yes,No,Ohio,5/3/22,Representative,10,"65,734",100%,Won,N/A,N/A,N/A,Fully accepted,Yes,4/29/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eric J. Brewer,Male,Black,,,No,No,Ohio,5/3/22,Representative,11,"8,240",58%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
James Hemphill,Male,Black,,,No,No,Ohio,5/3/22,Representative,11,"6,062",42%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Troy Balderson,Male,White,,,Yes,No,Ohio,5/3/22,Representative,12,"66,181",82%,Won,N/A,N/A,N/A,Fully accepted,Yes,4/23/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brandon Michael Lape,Male,White,,,No,Yes,Ohio,5/3/22,Representative,12,"14,196",18%,Lost,N/A,N/A,N/A,Avoided answering,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Madison Gesiotto Gilbert,Female,White,,,No,No,Ohio,5/3/22,Representative,13,"16,210",29%,Won,N/A,N/A,N/A,No comment,Yes,3/15/22,N/A,N/A,N/A,Yes,Yes,N/A,N/A
Shay Hawkins,Male,Black,,,No,No,Ohio,5/3/22,Representative,13,"6,466",11%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A
Santana F. King,Male,White,Latino,,No,No,Ohio,5/3/22,Representative,13,"1,337",2%,Lost,N/A,N/A,N/A,Fully accepted,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A
Janet Folger Porter,Female,White,,,No,No,Ohio,5/3/22,Representative,13,"9,401",17%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A
Dante N. Sabatucci,Male,White,,,No,No,Ohio,5/3/22,Representative,13,"4,740",8%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A
Ryan Saylor,Male,White,,,No,No,Ohio,5/3/22,Representative,13,"5,261",9%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A
Greg Wheeler,Male,White,,,No,No,Ohio,5/3/22,Representative,13,"13,284",23%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A
David P. Joyce,Male,White,,,Yes,No,Ohio,5/3/22,Representative,14,"58,042",76%,Won,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bevin Cormack,Male,White,,,No,Yes,Ohio,5/3/22,Representative,14,"6,364",8%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Patrick Gene Awtrey,Male,White,,,No,Yes,Ohio,5/3/22,Representative,14,"12,296",16%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Carey,Male,White,,,Yes,No,Ohio,5/3/22,Representative,15,"48,827",100%,Won,N/A,N/A,N/A,No comment,Yes,4/21/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joe Blystone,Male,White,,,No,Yes,Ohio,5/3/22,Governor,N/A,"235,584",22%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Mike DeWine,Male,White,,,Yes,No,Ohio,5/3/22,Governor,N/A,"519,594",48%,Won,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A
Ron Hood,Male,White,,,No,Yes,Ohio,5/3/22,Governor,N/A,"22,411",2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Jim Renacci,Male,White,,,No,Yes,Ohio,5/3/22,Governor,N/A,"302,494",28%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A
Manga Anantatmula,Female,Asian (Indian),,,No,No,Virginia,5/7/22,Representative,11,517,31%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joe Babb,Male,White,,,No,No,Virginia,5/7/22,Representative,11,129,8%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Barbara Banks,Female,White,,,No,No,Virginia,5/7/22,Representative,11,43,3%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Matthew Chappell,Male,White,,,No,No,Virginia,5/7/22,Representative,11,309,19%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jim Myles,Male,White,,,No,No,Virginia,5/7/22,Representative,11,670,40%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scott Fuller,Male,White,,,No,Yes,West Virginia,5/10/22,Representative,1,"6,197",10%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A
James Edwin Houser,Male,White,,,No,Yes,West Virginia,5/10/22,Representative,1,"4,877",8%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Zane Lawhorn,Male,White,,,No,Yes,West Virginia,5/10/22,Representative,1,"5,530",9%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Carol Miller,Female,White,,,Yes,No,West Virginia,5/10/22,Representative,1,"41,852",66%,Won,N/A,N/A,N/A,Fully denied,Yes,4/6/22,N/A,N/A,N/A,N/A,Yes,Yes,N/A
Kent Stevens,Male,White,,,No,Yes,West Virginia,5/10/22,Representative,1,"4,658",7%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Susan Buchser-Lochocki,Female,White,,,No,Yes,West Virginia,5/10/22,Representative,2,"3,329",4%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Rhonda A. Hercules,Female,White,,,No,Yes,West Virginia,5/10/22,Representative,2,"2,083",3%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
David B. McKinley,Male,White,,,Yes,Yes,West Virginia,5/10/22,Representative,2,"29,619",36%,Lost,N/A,N/A,N/A,Fully accepted,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Alexander X. Mooney,Male,White,Latino (Cuban),,Yes,Yes,West Virginia,5/10/22,Representative,2,"45,164",54%,Won,N/A,N/A,N/A,Fully denied,Yes,11/15/21,Yes,N/A,N/A,N/A,N/A,N/A,N/A
Mike Seckman,Male,White,,,No,Yes,West Virginia,5/10/22,Representative,2,"3,076",4%,Lost,N/A,N/A,N/A,No comment,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Jeff Fortenberry,Male,White,,,Yes,No,Nebraska,5/10/22,Representative,1,"9,807",12%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Curtis D. Huffman,Male,White,,,No,Yes,Nebraska,5/10/22,Representative,1,"3,062",4%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thireena Yuki Connely,Female,Asian (Japanese),White,,No,Yes,Nebraska,5/10/22,Representative,1,"3,353",4%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Glen Weaver,Male,White,,,No,Yes,Nebraska,5/10/22,Representative,1,"5,470",7%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Flood,Male,White,,,No,Yes,Nebraska,5/10/22,Representative,1,"61,265",74%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Don Bacon,Male,White,,,Yes,No,Nebraska,5/10/22,Representative,2,"53,824",77%,Won,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steve Kuehl,Male,White,,,No,Yes,Nebraska,5/10/22,Representative,2,"15,945",23%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adrian Smith,Male,White,,,Yes,No,Nebraska,5/10/22,Representative,3,"89,453",76%,Won,N/A,N/A,N/A,Accepted with reservations,Yes,5/3/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Calhoun,Male,Unknown,,,No,Yes,Nebraska,5/10/22,Representative,3,"28,243",24%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Connely,Male,White,,,No,No,Nebraska,5/10/22,Governor,N/A,"2,838",1%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brett Lindstrom,Male,White,,,No,No,Nebraska,5/10/22,Governor,N/A,"70,554",26%,Lost,N/A,N/A,N/A,Fully accepted,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Donna Nicole Carpenter,Female,White,,,No,No,Nebraska,5/10/22,Governor,N/A,"1,536",1%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lela McNinch,Female,White,,,No,No,Nebraska,5/10/22,Governor,N/A,"1,192",0%,Lost,N/A,N/A,N/A,Avoided answering,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Theresa Thibodeau,Female,White,,,No,No,Nebraska,5/10/22,Governor,N/A,"16,432",6%,Lost,N/A,N/A,N/A,Accepted with reservations,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jim Pillen,Male,White,,,No,No,Nebraska,5/10/22,Governor,N/A,"91,555",34%,Won,N/A,N/A,N/A,Fully accepted,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Troy Wentz,Male,White,,,No,No,Nebraska,5/10/22,Governor,N/A,708,0%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Charles W. Herbster,Male,White,,,No,No,Nebraska,5/10/22,Governor,N/A,"80,771",30%,Lost,N/A,N/A,N/A,Accepted with reservations,Yes,10/26/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Breland Ridenour,Male,White,,,No,No,Nebraska,5/10/22,Governor,N/A,"4,685",2%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arnold Blankenship,Male,Unknown,,,No,Yes,Kentucky,5/17/22,Senator,N/A,"10,092",3%,Lost,N/A,N/A,N/A,No comment,No,N/A,No,No,N/A,N/A,N/A,N/A,N/A
"Valerie ""Dr Val"" Fredrick",Female,White,,,No,Yes,Kentucky,5/17/22,Senator,N/A,"14,018",4%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,No,No,N/A,N/A,N/A,N/A,N/A
Paul V. Hamilton,Male,White,,,No,Yes,Kentucky,5/17/22,Senator,N/A,"13,473",3%,Lost,N/A,N/A,N/A,No comment,No,N/A,No,No,N/A,N/A,N/A,N/A,N/A
Rand Paul,Male,White,,,Yes,No,Kentucky,5/17/22,Senator,N/A,"333,051",86%,Won,N/A,N/A,N/A,Accepted with reservations,Yes,4/8/21,Yes,Yes,N/A,N/A,N/A,N/A,N/A
John Schiess,Male,White,,,No,Yes,Kentucky,5/17/22,Senator,N/A,"5,538",1%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,No,No,N/A,N/A,N/A,N/A,N/A
Tami L. Stainfield,Female,White,,,No,Yes,Kentucky,5/17/22,Senator,N/A,"9,256",2%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,No,No,N/A,N/A,N/A,N/A,N/A
James R. Comer,Male,White,,,Yes,No,Kentucky,5/17/22,Representative,1,1,100%,Won,N/A,N/A,N/A,Accepted with reservations,Yes,5/10/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
