StartDate,EndDate,Which of the following best describes your current relationship status?,"How long have you been in your current relationship? If you are not currently in a relationship, please answer according to your last relationship.","When both you and your partner are at home, how often do you sleep in separate beds?","When you're not sleeping in the same bed as your partner, where do you typically sleep?",,"When you're not sleeping in the same bed, where does your partner typically sleep?",,What are the reasons that you sleep in separate beds? Please select all that apply.,,,,,,,,,,,When was the first time you slept in separate beds?,"To what extent do you agree with the following statement: ""sleeping in separate beds helps us to stay together.""","To what extent do you agree with the following statement: ""we sleep better when we sleep in separate beds.""","To what extent do you agree with the following statement:ë_""our sex life has improved as a result of sleeping in separate beds.""ë_",Which of the following best describes your current occupation?,,Gender,Age,Household Income,Education,Location (Census Region)
7/9/14 21:12,7/9/14 21:13,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Male,45-60,"$100,000 - $149,999",Graduate degree,West North Central
7/9/14 21:10,7/9/14 21:11,In a domestic partnership or civil union,1-5 years,A few times per month,On the couch/chair,,On the couch/chair,,One of us snores,,,,,We've had an argument or fight,,,,,,Within the first 1-5 years of our relationship,Somewhat agree,Somewhat disagree,Strongly disagree,Office and Administrative Support Occupations,,Male,30-44,"$0 - $24,999",Bachelor degree,Pacific
7/9/14 21:09,7/9/14 21:10,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Architecture and Engineering Occupations,,Male,45-60,"$150,000+",Bachelor degree,West North Central
7/9/14 21:09,7/9/14 21:09,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Male,45-60,"$150,000+",Bachelor degree,Mountain
7/9/14 21:08,7/9/14 21:11,Married,11-15 years,A few times per month,Separate bedroom,,Separate bedroom,,,,,,,,,,,Night working/very different sleeping times,,Immediately/ We've always slept in separate beds,Strongly agree,Strongly agree,Strongly agree,Healthcare Practitioners and Technical Occupations,,Male,45-60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
7/9/14 21:08,7/9/14 21:09,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Architecture and Engineering Occupations,,Male,18-29,"$100,000 - $149,999",Graduate degree,Middle Atlantic
7/9/14 21:08,7/9/14 21:10,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),i'm disabled,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
7/9/14 21:08,7/9/14 21:09,"Single, but cohabiting with a significant other",6-10 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central
7/9/14 21:06,7/9/14 21:07,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central
7/9/14 21:04,7/9/14 21:05,"Single, but cohabiting with a significant other",6-10 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central
7/9/14 21:04,7/9/14 21:04,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Support Occupations,,Male,30-44,"$150,000+",Graduate degree,West North Central
7/9/14 21:03,7/9/14 21:04,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Male,45-60,,Graduate degree,East North Central
7/9/14 21:00,7/9/14 21:00,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Male,30-44,"$150,000+",Bachelor degree,West South Central
7/9/14 20:59,7/9/14 21:02,Separated,1-5 years,Never,,,,,,,,,,,,,,,,,,,,"Installation, Maintenance, and Repair Occupations",,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central
7/9/14 20:59,7/9/14 21:00,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
7/9/14 20:57,7/9/14 20:57,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,,,,,
7/9/14 20:57,7/9/14 20:57,Married,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/14 20:56,7/9/14 20:57,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Life, Physical, and Social Science Occupations",,Male,45-60,"$150,000+",Bachelor degree,Pacific
7/9/14 20:55,7/9/14 21:00,Married,1-5 years,Every night,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,One of us makes frequent bathroom trips in the night,,,,,,,,,Other (please specify),Immediately/ We've always slept in separate beds,Strongly agree,Strongly agree,Strongly agree,Other (please specify),"Retired, Law Enforcement",Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic
7/9/14 20:55,7/9/14 20:57,In a domestic partnership or civil union,11-15 years,Once a year or less,On the couch/chair,,On the couch/chair,,One of us snores,,,,,,,,,,,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Other (please specify),Cosemtologist,Male,45-60,"$100,000 - $149,999",High school degree,South Atlantic
7/9/14 20:54,7/9/14 20:56,Married,1-5 years,Once a month or less,On the couch/chair,,On the couch/chair,,,,One of us is sick,,,We've had an argument or fight,,,One of us needs to sleep with a child,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Management Occupations,,Male,18-29,"$50,000 - $99,999",Bachelor degree,Mountain
7/9/14 20:52,7/9/14 20:53,Married,11-15 years,A few times per week,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,,Night working/very different sleeping times,,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Production Occupations,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,
7/9/14 20:51,7/9/14 20:53,Married,11-15 years,Once a month or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,We are no longer physically intimate,,We've had an argument or fight,,,One of us needs to sleep with a child,,,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Construction and Extraction Occupations,,Male,30-44,"$150,000+",Graduate degree,Middle Atlantic
7/9/14 20:51,7/9/14 20:57,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central
7/9/14 20:50,7/9/14 20:51,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,,,,,
7/9/14 20:49,7/9/14 20:50,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Male,45-60,"$150,000+",Graduate degree,East North Central
7/9/14 20:49,7/9/14 20:54,"Single, but cohabiting with a significant other",6-10 years,Once a month or less,Separate bedroom,,Separate bedroom,,One of us snores,,,,,We've had an argument or fight,,,,,,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat agree,Strongly disagree,Other (please specify),Non-profit Management,Male,18-29,"$50,000 - $99,999",Bachelor degree,West South Central
7/9/14 20:38,7/9/14 20:52,Married,More than 20 years,Every night,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,,Night working/very different sleeping times,,Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat agree,"Installation, Maintenance, and Repair Occupations",,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,New England
7/9/14 20:48,7/9/14 20:49,"Single, but cohabiting with a significant other",More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Small business owner,Male,45-60,,Some college or Associate degree,Middle Atlantic
7/9/14 20:46,7/9/14 20:49,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,One of us makes frequent bathroom trips in the night,,We are no longer physically intimate,,,,,,,,After 20 years of our relationship,Somewhat agree,Strongly agree,Neither agree nor disagree,Architecture and Engineering Occupations,,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
7/9/14 20:47,7/9/14 20:47,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Farming, Fishing, and Forestry Occupations",,,,,,
7/9/14 20:46,7/9/14 20:47,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific
7/9/14 20:46,7/9/14 20:46,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Male,45-60,,Bachelor degree,West South Central
7/9/14 20:45,7/9/14 20:49,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,,,We are no longer physically intimate,,,,,,,,Within 16-20 years of our relationship,Somewhat disagree,Somewhat agree,Strongly disagree,Community and Social Service Occupations,,Male,45-60,"$50,000 - $99,999",Bachelor degree,Mountain
7/9/14 20:45,7/9/14 20:47,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West South Central
7/9/14 20:45,7/9/14 20:47,Married,6-10 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,,,One of us is sick,,,We've had an argument or fight,,,One of us needs to sleep with a child,,,Within the first 1-5 years of our relationship,Somewhat disagree,Strongly disagree,Strongly disagree,Office and Administrative Support Occupations,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
7/9/14 20:42,7/9/14 20:43,"Single, but cohabiting with a significant other",16-20 years,Never,,,,,,,,,,,,,,,,,,,,Personal Care and Service Occupations,,Male,30-44,"$150,000+",Some college or Associate degree,South Atlantic
7/9/14 20:41,7/9/14 20:44,Married,16-20 years,A few times per week,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,We've had an argument or fight,,,One of us needs to sleep with a child,,,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Other (please specify),Homemaker,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
7/9/14 20:38,7/9/14 20:39,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Architecture and Engineering Occupations,,Male,45-60,"$100,000 - $149,999",Graduate degree,New England
7/9/14 20:36,7/9/14 20:37,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,30-44,"$50,000 - $99,999",Bachelor degree,West South Central
7/9/14 20:36,7/9/14 20:36,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Legal Occupations,,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
7/9/14 20:34,7/9/14 20:35,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Male,45-60,"$150,000+",Graduate degree,Pacific
7/9/14 20:32,7/9/14 20:32,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Legal Occupations,,,,,,
7/9/14 20:31,7/9/14 20:32,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Legal Occupations,,Male,45-60,"$100,000 - $149,999",Bachelor degree,Mountain
7/9/14 20:31,7/9/14 20:32,"Single, but cohabiting with a significant other",6-10 years,Never,,,,,,,,,,,,,,,,,,,,Transportation and Materials Moving Occupations,,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
7/9/14 20:31,7/9/14 20:32,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Male,18-29,"$50,000 - $99,999",High school degree,West South Central
7/9/14 20:30,7/9/14 20:31,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Male,45-60,"$50,000 - $99,999",Graduate degree,Mountain
7/9/14 20:30,7/9/14 20:31,"Single, but cohabiting with a significant other",6-10 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),disabled,Male,45-60,"$25,000 - $49,999",Bachelor degree,South Atlantic
7/9/14 20:29,7/9/14 20:32,Married,More than 20 years,A few times per month,Other (please specify),Floor,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,One of us is sick,,,,,,,,,After 20 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Installation, Maintenance, and Repair Occupations",,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West North Central
7/9/14 20:28,7/9/14 20:32,"Single, but cohabiting with a significant other",11-15 years,Once a month or less,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,,,,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Community and Social Service Occupations,,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic
7/9/14 20:27,7/9/14 20:29,Married,11-15 years,A few times per month,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Construction and Extraction Occupations,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain
7/9/14 20:27,7/9/14 20:27,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Architecture and Engineering Occupations,,Male,45-60,,Bachelor degree,New England
7/9/14 20:26,7/9/14 20:29,"Single, but cohabiting with a significant other",1-5 years,Every night,Separate bedroom,,"Shared bedroom, but one of us sleeps on the floor",,,,,We are no longer physically intimate,,,,,,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Office and Administrative Support Occupations,,Male,45-60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
7/9/14 20:26,7/9/14 20:27,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired,Female,> 60,"$150,000+",Graduate degree,Middle Atlantic
7/9/14 20:26,7/9/14 20:27,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Building and Grounds Cleaning and Maintenance Occupations,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
7/9/14 20:25,7/9/14 20:26,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Male,45-60,"$150,000+",Bachelor degree,Mountain
7/9/14 20:25,7/9/14 20:26,"Single, but cohabiting with a significant other",Less than 1 year,Never,,,,,,,,,,,,,,,,,,,,Architecture and Engineering Occupations,,Male,18-29,"$50,000 - $99,999",High school degree,Pacific
7/9/14 20:24,7/9/14 20:25,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Legal Occupations,,Male,30-44,,Graduate degree,West South Central
7/9/14 20:24,7/9/14 20:27,Married,11-15 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,One of us is sick,,,We've had an argument or fight,,,,,,Within the first 1-5 years of our relationship,Somewhat disagree,Strongly disagree,Strongly disagree,Computer and Mathematical Occupations,,Male,30-44,,Some college or Associate degree,East North Central
7/9/14 20:24,7/9/14 20:27,Married,More than 20 years,Once a year or less,Other (please specify),"partner is out of town, hospital etc",Other (please specify),see above,,,,,,,,,,,Other (please specify),Within 11-15 years of our relationship,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",,Female,> 60,"$50,000 - $99,999",Bachelor degree,West North Central
7/9/14 20:23,7/9/14 20:25,Married,More than 20 years,Every night,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,,,,Within 16-20 years of our relationship,Neither agree nor disagree,Somewhat agree,Strongly disagree,Management Occupations,,Male,45-60,"$150,000+",Bachelor degree,East North Central
7/9/14 20:22,7/9/14 20:23,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific
