person,dept,eow,cause
Deputy Provost Marshal John L. Bashore,"United States Army Criminal Investigation Division, US","EOW: Saturday, October 1, 1864",Cause of Death: Gunfire
Patrolman Charles Curren,"New York Metropolitan Police Force, NY","EOW: Thursday, October 6, 1864",Cause of Death: Gunfire
Special Agent Cyrus Butler,"United States Army Criminal Investigation Division, US","EOW: Monday, October 31, 1864",Cause of Death: Gunfire
Patrolman Joseph Nulett,"New York Metropolitan Police Force, NY","EOW: Monday, November 7, 1864",Cause of Death: Gunfire
Sheriff Matthew Nolan,"Nueces County Sheriff's Office, TX","EOW: Thursday, December 22, 1864",Cause of Death: Gunfire
Sheriff William W. Armstrong,"Jefferson County Sheriff's Department, WA","EOW: Thursday, December 29, 1864",Cause of Death: Duty related illness
Policeman George Dill,"Buffalo Police Department, NY","EOW: Tuesday, January 10, 1865",Cause of Death: Gunfire
Guard Daniel Heavey,"Ohio Department of Rehabilitation and Correction, OH","EOW: Thursday, January 19, 1865",Cause of Death: Stabbed
Sergeant W.C. Stockham,"Memphis Police Department, TN","EOW: Wednesday, February 22, 1865",Cause of Death: Gunfire
"Sheriff John Quincy Daugherty, Sr.","Uvalde County Sheriff's Office, TX","EOW: Saturday, March 18, 1865",Cause of Death: Gunfire
Deputy Sheriff O. John Hart,"Umatilla County Sheriff's Department, OR","EOW: Monday, May 1, 1865",Cause of Death: Gunfire
Sheriff Cornelius Sage,"Yuma County Sheriff's Department, AZ","EOW: Wednesday, May 3, 1865",Cause of Death: Gunfire
Sheriff Joseph E. Branscomb,"DeKalb County Sheriff's Office, MO","EOW: Monday, July 31, 1865",Cause of Death: Gunfire
"Officer Thomas DeVane, V","Wilmington Police Department, NC","EOW: Saturday, August 5, 1865",Cause of Death: Gunfire
Patrolman Thomas Walker,"New York Metropolitan Police Force, NY","EOW: Tuesday, August 15, 1865",Cause of Death: Gunfire
Constable Andrew J. Frank,"Suspension Bridge Village Police Department, NY","EOW: Saturday, September 16, 1865",Cause of Death: Gunfire
Sheriff John H. Payntor,"Cedar County Sheriff's Office, MO","EOW: Thursday, October 5, 1865",Cause of Death: Gunfire
Lieutenant William L. Harville,"Cedar County Sheriff's Office, MO","EOW: Thursday, October 5, 1865",Cause of Death: Gunfire
Sheriff Benjamen McLean,"Shelby County Sheriff's Office, OH","EOW: Friday, February 9, 1866",Cause of Death: Assault
Deputy Sheriff William H. Hendricks,"Santa Clara County Sheriff's Office, CA","EOW: Thursday, February 15, 1866",Cause of Death: Gunfire
Sheriff George Rogers,"Lincoln County Sheriff's Office, NV","EOW: Thursday, March 1, 1866",Cause of Death: Gunfire
Patrolman William Mower,"Memphis Police Department, TN","EOW: Thursday, March 1, 1866",Cause of Death: Gunfire
Patrolman John Stevens,"Memphis Police Department, TN","EOW: Tuesday, May 1, 1866",Cause of Death: Gunfire
Policeman John Curry,"Leavenworth Police Department, KS","EOW: Tuesday, May 8, 1866",Cause of Death: Stabbed
Sheriff William Read McMullen,"Angelina County Sheriff's Office, TX","EOW: Saturday, May 19, 1866",Cause of Death: Gunfire
Town Marshal Jesse Dickson,"Quincy Police Department, FL","EOW: Monday, May 21, 1866",Cause of Death: Gunfire
Jailer Henry Bugler,"Jackson County Sheriff's Office, MO","EOW: Wednesday, June 13, 1866",Cause of Death: Gunfire
Jailer Uriah S. Gregory,"Storey County Sheriff's Office, NV","EOW: Thursday, June 21, 1866",Cause of Death: Assault
Private Alvin A. Clark,"Texas Rangers, TX","EOW: Friday, June 29, 1866",Cause of Death: Gunfire
Patrolman John Fuchs,"Morrisania Police Department, NY","EOW: Wednesday, July 4, 1866",Cause of Death: Gunfire
Deputy Sheriff John Ormsby,"Fremont County Sheriff's Department, IA","EOW: Tuesday, July 10, 1866",Cause of Death: Gunfire
Officer Thomas A. Welch,"Omaha Police Department, NE","EOW: Friday, August 17, 1866",Cause of Death: Gunfire
Patrolman John Hipwell,"Brooklyn Police Department, NY","EOW: Tuesday, October 9, 1866",Cause of Death: Gunfire
Officer Charles E. Gall,"Hagerstown Police Department, MD","EOW: Wednesday, October 10, 1866",Cause of Death: Assault
Deputy U.S. Marshal George W. Leihy,"United States Department of Justice - United States Marshals Service, US","EOW: Sunday, November 18, 1866",Cause of Death: Assault
City Marshal Felix A. Boller,"Ogden Police Department, KS","EOW: Wednesday, December 12, 1866",Cause of Death: Gunfire
Policeman Silas Benjamin Newcomb,"Victoria Police Department, TX","EOW: Tuesday, December 18, 1866",Cause of Death: Gunfire
Deputy Sheriff Horace P. Stewart,"Spokane County Sheriff's Department, WA","EOW: Monday, February 18, 1867",Cause of Death: Gunfire
Deputy Sheriff Mat Green,"Lamar County Sheriff's Department, TX","EOW: Friday, March 1, 1867",Cause of Death: Gunfire
Sheriff Joseph Bailey,"Vernon County Sheriff's Department, MO","EOW: Tuesday, March 26, 1867",Cause of Death: Gunfire
Patrolman John M. Claridge,"Memphis Police Department, TN","EOW: Tuesday, April 23, 1867",Cause of Death: Gunfire
Deputy Sheriff George Frank S. Griffin,"Ray County Sheriff's Department, MO","EOW: Thursday, May 23, 1867",Cause of Death: Gunfire
Jailer Barry G. Griffin,"Ray County Sheriff's Department, MO","EOW: Thursday, May 23, 1867",Cause of Death: Gunfire
Deputy Sheriff Isaac Ward,"Jack County Sheriff's Department, TX","EOW: Thursday, May 23, 1867",Cause of Death: Gunfire
Patrolman Walter M. Rogers,"Memphis Police Department, TN","EOW: Tuesday, June 4, 1867",Cause of Death: Gunfire
Sheriff Samuel Lewis,"McNairy County Sheriff's Department, TN","EOW: Wednesday, July 31, 1867",Cause of Death: Gunfire
Deputy City Marshal Thomas G. O'Conner,"Portland Police Bureau, OR","EOW: Thursday, August 8, 1867",Cause of Death: Gunfire
Deputy Constable Richard P. Ryan,"Ophir City Constable's Office, NV","EOW: Saturday, August 31, 1867",Cause of Death: Gunfire
City Marshal Charles H. Keeler,"The Dalles Police Department, OR","EOW: Thursday, September 5, 1867",Cause of Death: Gunfire
Town Marshal Reuben Fenstenmaker,"Farmington Marshal's Office, IA","EOW: Wednesday, September 11, 1867",Cause of Death: Gunfire
Patrolman Van Ness Wells,"San Antonio Police Department, TX","EOW: Thursday, September 26, 1867",Cause of Death: Stabbed
Patrolman Robert S. McChesney,"New York Metropolitan Police Force, NY","EOW: Saturday, October 19, 1867",Cause of Death: Stabbed
Police Officer Richard B. Richardson,"Oakland Police Department, CA","EOW: Wednesday, October 23, 1867",Cause of Death: Gunfire
Patrolman Charles Thompson,"New York Metropolitan Police Force, NY","EOW: Sunday, December 1, 1867",Cause of Death: Stabbed
Sheriff Benjamin Franklin Orcutt,"Kalamazoo County Sheriff's Department, MI","EOW: Thursday, December 12, 1867",Cause of Death: Gunfire
Sheriff Timothy B. Smith,"Ormsby County Sheriff's Office, NV","EOW: Tuesday, December 17, 1867",Cause of Death: Gunfire
Night Watchman Joseph Burnham,"Haverhill Police Department, MA","EOW: Monday, December 23, 1867",Cause of Death: Gunfire
Patrolman John M. Fenton,"Memphis Police Department, TN","EOW: Tuesday, December 31, 1867",Cause of Death: Gunfire
Patrolman William Dozier,"Knoxville Police Department, TN","EOW: Wednesday, January 1, 1868",Cause of Death: Gunfire
Captain John McKinstry,"Mattoon Police Department, IL","EOW: Saturday, February 22, 1868",Cause of Death: Gunfire
Patrolman William Levan,"Reading Police Department, PA","EOW: Thursday, February 27, 1868",Cause of Death: Heart attack
Patrolman John Gear,"Memphis Police Department, TN","EOW: Friday, March 13, 1868",Cause of Death: Gunfire
Sheriff James Cochran,"Trinity County Sheriff's Department, CA","EOW: Tuesday, March 17, 1868",Cause of Death: Stabbed
Policeman David Calvin Crandall,"Capital Police District, NY","EOW: Saturday, April 18, 1868",Cause of Death: Gunfire
Officer Butch Dobler,"Marysville Police Department, CA","EOW: Tuesday, June 2, 1868",Cause of Death: Gunfire
Captain James Somers Perry,"Memphis Police Department, TN","EOW: Friday, June 12, 1868",Cause of Death: Gunfire
Patrolman John W. Skinner,"St. Louis Metropolitan Police Department, MO","EOW: Tuesday, June 16, 1868",Cause of Death: Gunfire
Constable Manuel Garcia Y Griego,"Ranchos de Albuquerque Constable's Office, NM","EOW: Wednesday, June 24, 1868",Cause of Death: Gunfire
Patrolman Henry Corbett,"New York Metropolitan Police Force, NY","EOW: Monday, July 13, 1868",Cause of Death: Drowned
Deputized Civilian Walter Williams,"Storey County Sheriff's Office, NV","EOW: Saturday, July 18, 1868",Cause of Death: Gunfire
Patrolman John Smedick,"New York Metropolitan Police Force, NY","EOW: Thursday, July 23, 1868",Cause of Death: Gunfire
Deputy Marshal Robert Goode,"Columbus Police Department, TX","EOW: Tuesday, July 28, 1868",Cause of Death: Gunfire
Patrolman John P. Brady,"Wheeling Police Department, WV","EOW: Sunday, September 27, 1868",Cause of Death: Fire
Policeman James Young,"Philadelphia Police Department, PA","EOW: Wednesday, October 14, 1868",Cause of Death: Gunfire
Patrolman Samuel Bryson,"Savannah Police Department, GA","EOW: Wednesday, November 4, 1868",Cause of Death: Gunfire
Patrolman Robert E. Read,"Savannah Police Department, GA","EOW: Thursday, November 5, 1868",Cause of Death: Gunfire
City Marshal William Dean Sanford,"Jefferson Police Department, TX","EOW: Friday, November 20, 1868",Cause of Death: Gunfire
Inspector William H. Phelps,"United States Department of the Treasury - Customs Service, US","EOW: Friday, December 18, 1868",Cause of Death: Gunfire
Inspector George T. Hammonds,"United States Department of the Treasury - Customs Service, US","EOW: Friday, December 18, 1868",Cause of Death: Gunfire
Police Officer David S. Faulkner,"Malden Police Department, MA","EOW: Tuesday, December 22, 1868",Cause of Death: Gunfire
Patrolman Nathan Haynes,"Knoxville Police Department, TN","EOW: Friday, January 1, 1869",Cause of Death: Gunfire
City Marshal John T. Thompson,"Covington Police Department, KY","EOW: Monday, February 22, 1869",Cause of Death: Gunfire
Sergeant D. J. Finch,"Memphis Police Department, TN","EOW: Monday, March 8, 1869",Cause of Death: Gunfire
Deputy Sheriff James W. Wood,"Ouachita Parish Sheriff's Office, LA","EOW: Friday, March 12, 1869",Cause of Death: Gunfire
Keeper Edwin A. Craft,"New York State Department of Correctional Services, NY","EOW: Thursday, March 18, 1869",Cause of Death: Assault
Officer Ignatio Andrea,"Jacksonville Police Department, FL","EOW: Wednesday, April 14, 1869",Cause of Death: Stabbed
Deputy Sheriff William C. Hall,"Collin County Sheriff's Office, TX","EOW: Saturday, April 24, 1869",Cause of Death: Gunfire
Chief of Police Michael Baer,"Fort Smith Police Department, AR","EOW: Wednesday, May 26, 1869",Cause of Death: Gunfire
Customs Inspector Frank Dupont,"United States Department of the Treasury - Customs Service, US","EOW: Wednesday, May 26, 1869",Cause of Death: Gunfire
Sheriff Leonard C. DeLisle,"Harrison County Sheriff's Office, TX","EOW: Thursday, May 27, 1869",Cause of Death: Gunfire
Sheriff Orson Rodolphus Colgrove,"Jones County Sheriff's Office, NC","EOW: Saturday, May 29, 1869",Cause of Death: Gunfire
Sheriff Andrew Jackson Jacobs,"Goliad County Sheriff's Department, TX","EOW: Saturday, June 5, 1869",Cause of Death: Gunfire
Officer Thomas Kirkham,"Richmond Police Department, VA","EOW: Thursday, July 1, 1869",Cause of Death: Fall
Patrolman John O'Connell,"Louisville Police Department, KY","EOW: Thursday, July 8, 1869",Cause of Death: Gunfire (Accidental)
City Marshal Robert A. Clark,"Black Hawk Police Department, CO","EOW: Saturday, July 10, 1869",Cause of Death: Gunfire
Patrolman Thomas D. Moore,"Muscatine Police Department, IA","EOW: Monday, July 12, 1869",Cause of Death: Weather/Natural disaster
Patrolman Issac Wiltse,"Owego Police Department, NY","EOW: Saturday, July 17, 1869",Cause of Death: Gunfire
Deputy Sheriff Henry Pratt,"Tazewell County Sheriff's Office, IL","EOW: Friday, July 30, 1869",Cause of Death: Gunfire
Deputy Sheriff S. D. Sheldon,"Elko County Sheriff's Office, NV","EOW: Monday, August 2, 1869",Cause of Death: Gunfire
Deputy Sheriff Willard Griggs,"Rensselaer County Sheriff's Office, NY","EOW: Monday, August 2, 1869",Cause of Death: Gunfire
Patrolman John A. Branagan,"New York Metropolitan Police Force, NY","EOW: Tuesday, August 10, 1869",Cause of Death: Accidental
Deputy Sheriff Duff G. Williams,"Smith County Sheriff's Office, TX","EOW: Thursday, August 26, 1869",Cause of Death: Gunfire
Sheriff Thomas Wilson Napier,"Lincoln County Sheriff's Office, KY","EOW: Saturday, September 18, 1869",Cause of Death: Gunfire
Township Constable William Semans,"Ellsworth Police Department, KS","EOW: Sunday, September 26, 1869",Cause of Death: Gunfire
Deputy Sheriff Edward Faust,"Dewitt County Sheriff's Office, TX","EOW: Monday, October 18, 1869",Cause of Death: Gunfire
Posseman Henry Gonzalvo Woods,"Dewitt County Sheriff's Office, TX","EOW: Monday, October 18, 1869",Cause of Death: Gunfire
Deputy Sheriff Lewis C. Story,"Clinton County Sheriff's Department, KY","EOW: Wednesday, October 27, 1869",Cause of Death: Gunfire
Police Deputy Ira M. Buchanan,"Junction City Police Department, KS","EOW: Saturday, November 13, 1869",Cause of Death: Gunfire
Deputy Sheriff Nelson Maxey,"Washington County Sheriff's Office, TX","EOW: Friday, November 19, 1869",Cause of Death: Gunfire
Deputy U.S. Marshal Theodore W. Moses,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, December 6, 1869",Cause of Death: Gunfire
Police Officer Daniel McMullen,"Pittsburgh Police Department, PA","EOW: Saturday, December 18, 1869",Cause of Death: Assault
Special Constable John B. Drummond,"Brunswick County Constable's Office, VA","EOW: Friday, December 24, 1869",Cause of Death: Gunfire
Patrolman John D. Sullivan,"Savannah Police Department, GA","EOW: Saturday, December 25, 1869",Cause of Death: Gunfire
Police Officer A. G. Hearn,"Bryan Police Department, TX","EOW: Wednesday, February 9, 1870",Cause of Death: Stabbed
Sheriff David William L. Mizell,"Orange County Sheriff's Office, FL","EOW: Monday, February 21, 1870",Cause of Death: Gunfire
Deputy City Marshal Eli Stallings,"Bastrop Police Department, TX","EOW: Saturday, March 12, 1870",Cause of Death: Gunfire
Special Officer Richard O. Busch,"Richmond Police Department, VA","EOW: Sunday, March 20, 1870",Cause of Death: Gunfire
Sheriff John H. Wisner,"Ouachita Parish Sheriff's Office, LA","EOW: Wednesday, March 30, 1870",Cause of Death: Gunfire
Officer William Johnson,"Jacksonville Police Department, FL","EOW: Tuesday, April 12, 1870",Cause of Death: Assault
Officer Uriah H. Sears,"Cincinnati Police Department, OH","EOW: Monday, April 18, 1870",Cause of Death: Stabbed
Undersheriff Henry Bodine,"Labette County Sheriff's Office, KS","EOW: Wednesday, April 20, 1870",Cause of Death: Gunfire
Sergeant James T. Cox,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause of Death: Structure collapse
Officer James M. Carter,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause of Death: Structure collapse
Officer William R. Cray,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause of Death: Structure collapse
Deputy U.S. Marshal Thomas P. Foley,"United States Department of Justice - United States Marshals Service, US","EOW: Wednesday, April 27, 1870",Cause of Death: Structure collapse
Officer John Kerr,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause of Death: Structure collapse
Officer Michael McCarthy,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause of Death: Structure collapse
Officer John R. Meagher,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause of Death: Structure collapse
Officer James A. Seay,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause of Death: Structure collapse
Officer Julius Schultz,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause of Death: Structure collapse
Captain D. G. Tourgee,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause of Death: Structure collapse
Officer James M. Walker,"Richmond Police Department, VA","EOW: Wednesday, April 27, 1870",Cause of Death: Structure collapse
Deputy U.S. Marshal William Rufus Story,"United States Department of Justice - United States Marshals Service, US","EOW: Monday, May 2, 1870",Cause of Death: Gunfire
Posseman Festus Sprague,"Grantsville Police Department, UT","EOW: Tuesday, May 3, 1870",Cause of Death: Gunfire
