Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Gender,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?
Derrick Crowe,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,Male,-15.51,23.049999,No,White,No,No,No,No,No,No
Elliott McFadden,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Lost,None,None,Male,-15.51,17.02,No,White,No,No,No,No,No,No
Joseph Kopser,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,Male,-15.51,29.030001,Yes,White,Yes,No,No,No,Yes,No
Mary Wilson,TX,U.S. House Texas District 21,Representative,Regular,3/6/18,Advanced,Lost,None,Female,-15.51,30.9,No,White,No,Yes,No,No,Yes,No
Letitia Plummer,TX,U.S. House Texas District 22,Representative,Regular,3/6/18,Advanced,Lost,None,Female,-14.81,24.290001,No,Nonwhite,No,No,No,No,Yes,No
Margarita Ruiz Johnson,TX,U.S. House Texas District 22,Representative,Regular,3/6/18,Lost,None,None,Female,-14.81,12.64,No,Nonwhite,Yes,No,No,No,No,No
Mark Gibson,TX,U.S. House Texas District 22,Representative,Regular,3/6/18,Lost,None,None,Male,-14.81,10.24,No,Nonwhite,Yes,No,No,No,No,No
Sri Preston Kulkarni,TX,U.S. House Texas District 22,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,Male,-14.81,31.85,Yes,Nonwhite,No,No,No,No,No,No
Steve Brown,TX,U.S. House Texas District 22,Representative,Regular,3/6/18,Lost,None,None,Male,-14.81,20.98,No,Nonwhite,No,No,No,No,No,No
Angela Villescaz,TX,U.S. House Texas District 23,Representative,Regular,3/6/18,Lost,None,None,Female,-0.63,9.0900002,No,Nonwhite,No,No,No,No,No,No
Gina Ortiz Jones,TX,U.S. House Texas District 23,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,Female,-0.63,41.560001,Yes,Nonwhite,Yes,Yes,No,No,No,No
Jay Hulings,TX,U.S. House Texas District 23,Representative,Regular,3/6/18,Lost,None,None,Male,-0.63,14.98,No,Nonwhite,No,No,No,No,No,Yes
Judy Canales,TX,U.S. House Texas District 23,Representative,Regular,3/6/18,Lost,None,None,Female,-0.63,16.99,No,Nonwhite,No,No,No,No,No,Yes
Rick Trevi̱o,TX,U.S. House Texas District 23,Representative,Regular,3/6/18,Advanced,Lost,None,Male,-0.63,17.379999,No,Nonwhite,No,No,No,No,No,No
Jan McDowell,TX,U.S. House Texas District 24,Representative,Regular,3/6/18,Advanced,None,On the Ballot,Female,-12.78,52.470001,Yes,White,No,No,No,No,No,No
John Biggan,TX,U.S. House Texas District 24,Representative,Regular,3/6/18,Lost,None,None,Male,-12.78,21.52,No,White,No,No,No,No,Yes,No
Josh Imhoff,TX,U.S. House Texas District 24,Representative,Regular,3/6/18,Lost,None,None,Male,-12.78,6.02,No,White,No,No,No,No,No,No
Todd Allen,TX,U.S. House Texas District 24,Representative,Regular,3/6/18,Lost,None,None,Male,-12.78,20,No,White,No,No,No,No,No,No
Chetan Panda,TX,U.S. House Texas District 25,Representative,Regular,3/6/18,Lost,None,None,Male,-19.23,9.04,No,Nonwhite,No,No,No,No,No,No
Chris Perri,TX,U.S. House Texas District 25,Representative,Regular,3/6/18,Advanced,Lost,None,Male,-19.23,32.790001,No,White,No,No,No,No,No,No
Julie Oliver,TX,U.S. House Texas District 25,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,Female,-19.23,26.440001,Yes,White,No,No,No,No,No,No
Kathi Thomas,TX,U.S. House Texas District 25,Representative,Regular,3/6/18,Lost,None,None,Female,-19.23,21.16,No,White,No,No,No,No,No,No
West Hansen,TX,U.S. House Texas District 25,Representative,Regular,3/6/18,Lost,None,None,Male,-19.23,10.57,No,White,No,No,No,No,No,No
Linsey Fagan,TX,U.S. House Texas District 26,Representative,Regular,3/6/18,Advanced,None,On the Ballot,Female,-31.629999,52.66,Yes,White,No,No,No,No,No,No
Will Fisher,TX,U.S. House Texas District 26,Representative,Regular,3/6/18,Lost,None,None,Male,-31.629999,47.34,No,White,No,No,No,No,No,No
Eric Holguin,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,Male,-25.809999,23.299999,Yes,Nonwhite,No,Yes,No,No,No,No
Raul (Roy) Barrera,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Advanced,Lost,None,Male,-25.809999,41.23,No,Nonwhite,No,No,No,No,No,No
Ronnie McDonald,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Lost,None,None,Male,-25.809999,16.389999,No,Nonwhite,No,No,No,No,No,No
Vanessa Edwards Foster,TX,U.S. House Texas District 27,Representative,Regular,3/6/18,Lost,None,None,Female,-25.809999,19.08,No,White,No,Yes,No,No,No,No
Augustine Reyes,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,None,None,Male,39.970001,2.8299999,No,Nonwhite,Yes,No,No,No,No,No
Dominique Garcia,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,None,None,Female,39.970001,2.5799999,No,Nonwhite,No,No,No,No,No,No
Hector Morales,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,None,None,Male,39.970001,3.04,No,Nonwhite,No,No,No,No,No,No
Pedro Valencia,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,None,None,Male,39.970001,1.04,No,Nonwhite,No,No,No,No,No,No
Roel Garcia,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,None,None,Male,39.970001,6.5900002,No,Nonwhite,No,No,No,No,No,No
Sylvia Garcia,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Advanced,None,On the Ballot,Female,39.970001,63.259998,Yes,Nonwhite,No,No,Yes,No,No,No
Tahir Javed,TX,U.S. House Texas District 29,Representative,Regular,3/6/18,Lost,None,None,Male,39.970001,20.67,No,Nonwhite,No,No,No,Yes,No,No
Adam Bell,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Lost,None,None,Male,-20.709999,17.959999,No,White,No,No,No,No,No,No
Lorie Burch,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,Female,-20.709999,49.610001,Yes,White,No,Yes,No,No,No,No
Medrick Yhap,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Lost,None,None,Male,-20.709999,3.76,No,Nonwhite,No,No,No,No,No,No
Sam Johnson,TX,U.S. House Texas District 3,Representative,Regular,3/6/18,Advanced,Lost,None,Male,-20.709999,28.68,No,White,No,No,No,No,No,No
Christine Mann,TX,U.S. House Texas District 31,Representative,Regular,3/6/18,Advanced,Lost,None,Female,-17.379999,33.509998,No,White,No,No,No,No,Yes,No
Kent Lester,TX,U.S. House Texas District 31,Representative,Regular,3/6/18,Lost,None,None,Male,-17.379999,10.32,No,White,Yes,No,No,No,No,No
M.J. Hegar,TX,U.S. House Texas District 31,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,Female,-17.379999,44.93,Yes,White,Yes,No,No,No,No,No
Mike Clark,TX,U.S. House Texas District 31,Representative,Regular,3/6/18,Lost,None,None,Male,-17.379999,11.23,No,White,No,No,No,No,Yes,No
Brett Shipp,TX,U.S. House Texas District 32,Representative,Regular,3/6/18,Lost,None,None,Male,-4.98,16.34,No,White,No,No,No,No,No,No
Colin Allred,TX,U.S. House Texas District 32,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,Male,-4.98,38.43,Yes,Nonwhite,No,No,No,No,No,Yes
Ed Meier,TX,U.S. House Texas District 32,Representative,Regular,3/6/18,Lost,None,None,Male,-4.98,13.7,No,White,No,No,No,No,No,Yes
George Rodriguez,TX,U.S. House Texas District 32,Representative,Regular,3/6/18,Lost,None,None,Male,-4.98,7.5900002,No,Nonwhite,No,No,No,No,No,No
Lillian Salerno,TX,U.S. House Texas District 32,Representative,Regular,3/6/18,Advanced,Lost,None,Female,-4.98,18.35,No,White,No,No,No,No,No,Yes
Ron Marshall,TX,U.S. House Texas District 32,Representative,Regular,3/6/18,Lost,None,None,Male,-4.98,3.24,No,White,Yes,No,No,No,Yes,No
Todd Maternowski,TX,U.S. House Texas District 32,Representative,Regular,3/6/18,Lost,None,None,Male,-4.98,2.3599999,No,White,No,No,No,No,No,No
Dayna Steele,TX,U.S. House Texas District 36,Representative,Regular,3/6/18,Advanced,None,On the Ballot,Female,-49.509998,72,Yes,White,No,No,No,No,No,No
Jon Powell,TX,U.S. House Texas District 36,Representative,Regular,3/6/18,Lost,None,None,Male,-49.509998,28,No,White,No,No,Yes,No,Yes,No
Catherine Krantz,TX,U.S. House Texas District 4,Representative,Regular,3/6/18,Advanced,None,On the Ballot,Female,-55.029999,68.620003,Yes,White,No,No,No,No,No,No
Lander Bethel,TX,U.S. House Texas District 4,Representative,Regular,3/6/18,Lost,None,None,Male,-55.029999,31.379999,No,White,No,No,No,No,No,No
Dan Wood,TX,U.S. House Texas District 5,Representative,Regular,3/6/18,Advanced,None,On the Ballot,Male,-31.360001,100,Yes,White,No,No,Yes,No,No,No
Jana Lynne Sanchez,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,Female,-16.030001,36.900002,Yes,Nonwhite,No,No,No,No,No,No
John Duncan,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,Male,-16.030001,13.52,No,White,No,Yes,No,No,No,No
Justin Snider,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,Male,-16.030001,6.8499999,No,White,No,No,No,No,No,No
Levii Shocklee,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Lost,None,None,Male,-16.030001,5.7800002,No,White,Yes,No,No,No,No,No
Ruby Faye Woolridge,TX,U.S. House Texas District 6,Representative,Regular,3/6/18,Advanced,Lost,None,Female,-16.030001,36.950001,No,Nonwhite,No,No,No,No,No,No
Alex Triantaphyllis,TX,U.S. House Texas District 7,Representative,Regular,3/6/18,Lost,None,None,Male,-6.8099999,15.73,No,White,No,No,No,No,No,No
Ivan Sanchez,TX,U.S. House Texas District 7,Representative,Regular,3/6/18,Lost,None,None,Male,-6.8099999,5.6900001,No,Nonwhite,No,No,No,No,No,No
James Cargas,TX,U.S. House Texas District 7,Representative,Regular,3/6/18,Lost,None,None,Male,-6.8099999,1.96,No,White,No,No,No,No,No,No
Jason Westin,TX,U.S. House Texas District 7,Representative,Regular,3/6/18,Lost,None,None,Male,-6.8099999,19.16,No,White,No,No,No,No,Yes,No
Joshua Butler,TX,U.S. House Texas District 7,Representative,Regular,3/6/18,Lost,None,None,Male,-6.8099999,3.77,No,Nonwhite,No,No,No,No,No,No
Laura Moser,TX,U.S. House Texas District 7,Representative,Regular,3/6/18,Advanced,Lost,None,Female,-6.8099999,24.34,No,White,No,No,No,No,No,No
Lizzie Pannill Fletcher,TX,U.S. House Texas District 7,Representative,Regular,3/6/18,Advanced,Advanced,On the Ballot,Female,-6.8099999,29.360001,Yes,White,No,No,No,No,No,No
Steven David,TX,U.S. House Texas District 8,Representative,Regular,3/6/18,Advanced,None,On the Ballot,Male,-52.959999,100,Yes,White,No,No,No,No,No,No
Beto O'Rourke,TX,U.S. Senate Texas,Senator,Regular,3/6/18,Advanced,None,On the Ballot,Male,-13.23,61.810001,Yes,White,No,No,Yes,No,No,No
Edward Kimbrough,TX,U.S. Senate Texas,Senator,Regular,3/6/18,Lost,None,None,Male,-13.23,14.47,No,Nonwhite,No,No,No,No,Yes,No
Sema Hernandez,TX,U.S. Senate Texas,Senator,Regular,3/6/18,Lost,None,None,Female,-13.23,23.719999,No,Nonwhite,No,No,No,No,No,No
Kurt Weiland,UT,U.S. House Utah District 1,Representative,Regular,6/26/18,Lost,None,None,Male,-37.259998,43.150002,No,White,Yes,No,No,No,No,No
Lee Castillo,UT,U.S. House Utah District 1,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Male,-37.259998,56.849998,Yes,Nonwhite,No,Yes,No,No,No,No
Shireen Ghorbani,UT,U.S. House Utah District 2,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Female,-22.73,100,Yes,Nonwhite,No,No,No,No,No,No
James Singer,UT,U.S. House Utah District 3,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Male,-35.16,100,Yes,Nonwhite,No,No,No,No,No,No
Ben McAdams,UT,U.S. House Utah District 4,Representative,Regular,6/26/18,Advanced,None,On the Ballot,Male,-16.809999,100,Yes,White,No,No,Yes,No,No,No
Jenny Wilson,UT,U.S. Senate Utah,Senator,Regular,6/26/18,Advanced,None,On the Ballot,Female,-28.1,100,Yes,White,No,No,Yes,No,No,No
Edwin Santana,VA,U.S. House Virginia District 1,Representative,Regular,6/12/18,Lost,None,None,Male,-14.81,32.900002,No,Nonwhite,Yes,No,No,No,No,No
John Suddarth,VA,U.S. House Virginia District 1,Representative,Regular,6/12/18,Lost,None,None,Male,-14.81,27.129999,No,White,Yes,No,No,No,Yes,No
Vangie Williams,VA,U.S. House Virginia District 1,Representative,Regular,6/12/18,Advanced,None,On the Ballot,Female,-14.81,39.970001,Yes,Nonwhite,No,No,No,No,No,No
Alison Kiehl Friedman,VA,U.S. House Virginia District 10,Representative,Regular,6/12/18,Lost,None,None,Female,4.6900001,22.959999,No,White,No,No,No,Yes,No,Yes
Dan Helmer,VA,U.S. House Virginia District 10,Representative,Regular,6/12/18,Lost,None,None,Male,4.6900001,12.55,No,White,Yes,No,No,No,No,No
Jennifer Wexton,VA,U.S. House Virginia District 10,Representative,Regular,6/12/18,Advanced,None,On the Ballot,Female,4.6900001,41.889999,Yes,White,No,No,Yes,No,No,No
Julia Biggins,VA,U.S. House Virginia District 10,Representative,Regular,6/12/18,Lost,None,None,Female,4.6900001,2.8299999,No,White,No,No,No,No,Yes,No
Lindsey Davis Stover,VA,U.S. House Virginia District 10,Representative,Regular,6/12/18,Lost,None,None,Female,4.6900001,16.02,No,White,No,No,No,No,No,Yes
Paul Pelletier,VA,U.S. House Virginia District 10,Representative,Regular,6/12/18,Lost,None,None,Male,4.6900001,3.76,No,White,No,No,No,No,No,No
Elaine Luria,VA,U.S. House Virginia District 2,Representative,Regular,6/12/18,Advanced,None,On the Ballot,Female,-5.6599998,62.330002,Yes,White,Yes,No,No,No,Yes,No
Karen Mallard,VA,U.S. House Virginia District 2,Representative,Regular,6/12/18,Lost,None,None,Female,-5.6599998,37.669998,No,White,No,No,No,No,No,No
Leslie Cockburn,VA,U.S. House Virginia District 5,Representative,Regular,6/12/18,Advanced,None,On the Ballot,Female,-12.51,100,Yes,White,No,No,No,No,No,No
Charlotte Moore,VA,U.S. House Virginia District 6,Representative,Regular,6/12/18,Lost,None,None,Female,-25.959999,18.450001,No,White,No,No,Yes,No,No,No
Jennifer Lewis,VA,U.S. House Virginia District 6,Representative,Regular,6/12/18,Advanced,None,On the Ballot,Female,-25.959999,47.669998,Yes,White,No,No,No,No,No,No
Peter Volosin,VA,U.S. House Virginia District 6,Representative,Regular,6/12/18,Lost,None,None,Male,-25.959999,27.190001,No,White,No,Yes,No,No,Yes,No
Sergio Coppola,VA,U.S. House Virginia District 6,Representative,Regular,6/12/18,Lost,None,None,Male,-25.959999,6.6799998,No,White,No,No,No,No,Yes,No
Abigail Spanberger,VA,U.S. House Virginia District 7,Representative,Regular,6/12/18,Advanced,None,On the Ballot,Female,-10.03,72.68,Yes,White,No,No,No,No,No,No
Dan Ward,VA,U.S. House Virginia District 7,Representative,Regular,6/12/18,Lost,None,None,Male,-10.03,27.32,No,White,Yes,No,No,No,No,No
Anthony Flaccavento,VA,U.S. House Virginia District 9,Representative,Regular,6/12/18,Advanced,None,On the Ballot,Male,-40.709999,78.639999,Yes,White,No,No,No,No,No,No
Justin Santopietro,VA,U.S. House Virginia District 9,Representative,Regular,6/12/18,Lost,None,None,Male,-40.709999,21.360001,No,White,No,No,No,No,No,No
Carolyn Long,WA,U.S. House Washington District 3,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Female,-8.5100002,,Yes,White,No,No,No,No,No,No
David McDevitt,WA,U.S. House Washington District 3,Representative,Regular,8/7/18,Lost,None,None,Male,-8.5100002,,No,White,Yes,No,No,Yes,No,No
Dorothy Gasque,WA,U.S. House Washington District 3,Representative,Regular,8/7/18,Lost,None,None,Female,-8.5100002,,No,White,Yes,No,No,No,Yes,No
Martin Hash,WA,U.S. House Washington District 3,Representative,Regular,8/7/18,Lost,None,None,Male,-8.5100002,,No,White,No,No,No,No,Yes,No
Christine Brown,WA,U.S. House Washington District 4,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Female,-25.08,,Yes,White,No,No,No,No,Yes,No
Lisa Brown,WA,U.S. House Washington District 5,Representative,Regular,8/7/18,Advanced,None,On the Ballot,Female,-14.81,,Yes,White,No,No,Yes,No,No,No
Jason Rittereiser,WA,U.S. House Washington District 8,Representative,Regular,8/7/18,,None,,Male,0.12,,,White,No,No,No,No,No,No
Kim Schrier,WA,U.S. House Washington District 8,Representative,Regular,8/7/18,,None,,Female,0.12,,,White,No,No,No,No,Yes,No
Shannon Hader,WA,U.S. House Washington District 8,Representative,Regular,8/7/18,,None,,Female,0.12,,,White,No,No,No,Yes,Yes,No
Thomas Cramer,WA,U.S. House Washington District 8,Representative,Regular,8/7/18,,None,,Male,0.12,,,White,No,No,No,No,No,No
Kendra Fershee,WV,U.S. House West Virginia District 1,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Female,-40.41,47.240002,Yes,White,No,No,No,No,No,No
Ralph Baxter,WV,U.S. House West Virginia District 1,Representative,Regular,5/8/18,Lost,None,None,Male,-40.41,38.119999,No,White,No,No,No,No,No,No
Tom Payne,WV,U.S. House West Virginia District 1,Representative,Regular,5/8/18,Lost,None,None,Male,-40.41,14.64,No,White,Yes,No,No,No,Yes,No
Aaron Scheinberg,WV,U.S. House West Virginia District 2,Representative,Regular,5/8/18,Lost,None,None,Male,-35.330002,37.43,No,White,Yes,No,No,No,No,No
Talley Sergent,WV,U.S. House West Virginia District 2,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Female,-35.330002,62.57,Yes,White,No,No,No,No,No,Yes
Janice Hagerman,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,None,None,Female,-47.48,7.2399998,No,White,No,No,No,No,No,No
Paul Davis,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,None,None,Male,-47.48,15.96,No,White,No,No,No,No,No,No
Richard Ojeda,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Advanced,None,On the Ballot,Male,-47.48,52.16,Yes,Nonwhite,Yes,No,Yes,No,No,No
Shirley Love,WV,U.S. House West Virginia District 3,Representative,Regular,5/8/18,Lost,None,None,Male,-47.48,24.639999,No,White,No,No,No,No,No,No
