title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
The Whole Wide World,http://www.imdb.com/title/tt0118163/,US,1996,$137K,Dan Ireland,2,Novalyne Price ,Author,Known,Multi racial,0,Female,Ren̩e Zellweger
The Wings of Eagles,http://www.imdb.com/title/tt0051198/,US,1957,-,John Ford,1,"Frank W. ""Spig"" Wead",Military,Unknown,,0,Male,John Wayne
The Winning Team,http://www.imdb.com/title/tt0045332/,US,1952,-,Lewis Seiler,1,Grover Cleveland Alexander,Athlete,Known,White,0,Male,Ronald Reagan
The Wizard of Speed and Time,http://www.imdb.com/title/tt0081766/,US,1988,-,Mike Jittlov,1,Mike Jittlov,Other,Unknown,,0,Male,Mike Jittlov
The Wolf of Wall Street,http://www.imdb.com/title/tt0993846/,US,2013,$117M,Martin Scorsese,1,Jordan Belfort,Criminal,Unknown,,0,Male,Leonardo DiCaprio
The Wonderful World of the Brothers Grimm,http://www.imdb.com/title/tt0056700/,US,1961,-,"Henry Levin, George Pal",2,Jacob Grimm,Author,Known,White,0,Male,Karlheinz B̦hm
The Wonderful World of the Brothers Grimm,http://www.imdb.com/title/tt0056700/,US,1961,-,"Henry Levin, George Pal",2,Wilhelm Grimm,Author,Known,White,0,Male,Laurence Harvey
The World's Fastest Indian,http://www.imdb.com/title/tt0412080/,US,2005,$5.13M,Roger Donaldson,1,"Herbert James ""Burt"" Munro",Athlete,Known,White,0,Male,Anthony Hopkins
The Young Victoria,http://www.imdb.com/title/tt0962736/,US/UK,2009,$11M,Jean-Marc Vall̩e,1,Victoria,Historical,Known,White,0,Female,Emily Bunt
They Died with Their Boots On,http://www.imdb.com/title/tt0034277/,US,1941,-,Raoul Walsh,1,George Armstrong Custer,Military,Known,White,0,Male,Errol Flynn
Thirteen,http://www.imdb.com/title/tt0328538/,US,2003,$4.6M,Catherine Hardwicke,2,Nikki Reed,Other,Known,White,0,Female,Evan Rachel Wood
Thirteen,http://www.imdb.com/title/tt0328538/,US,2003,$4.6M,Catherine Hardwicke,2,Catherine Hardwicke,Other,Unknown,,0,Female,Holly Hunter
Thirty Two Short Films About Glenn Gould,http://www.imdb.com/title/tt0108328/,Canada,1993,$1.57M,Fran̤ois Girard,1,Glenn Gould,Musician,Known,White,0,Male,Colm Feore
This Boy's Life,http://www.imdb.com/title/tt0108330/,US,1993,$4.1M,Michael Caton-Jones,1,Tobias Wolff,Other,Unknown,,0,Male,Leonardo DiCaprio
This Is Elvis,http://www.imdb.com/title/tt0083193/,US,1981,-,"Malcolm Leo, Andrew Solt",1,Elvis Presley,Musician,Known,White,0,Male,Multiple
Thomas Kinkade's Christmas Cottage,http://www.imdb.com/title/tt0999872/,US,2008,-,Michael Campus,1,Thomas Kinkade,Artist,Known,White,0,Male,Jared Padalecki
Three Little Words,http://www.imdb.com/title/tt0043044/,US,1950,-,Richard Thorpe,2,Bert Kalmar,Musician,Known,White,0,Male,Fred Astaire
Three Little Words,http://www.imdb.com/title/tt0043044/,US,1950,-,Richard Thorpe,2,Harry Ruby,Musician,Known,White,0,Male,Red Skelton
Till the Clouds Roll By,http://www.imdb.com/title/tt0039035/,US,1946,$6.72M,Richard Whorf,1,Jerome Kern,Musician,Known,White,0,Male,Robert Walker
To Hell and Back,http://www.imdb.com/title/tt0048729/,US,1955,-,Jesse Hibbs,1,Audie Murphy,Military,Known,White,0,Male,Audie Murphy
To Kill a King,http://www.imdb.com/title/tt0302436/,UK,2003,-,Mike Barker,2,Oliver Cromwell,Historical,Known,White,0,Male,Tim Roth
To Kill a King,http://www.imdb.com/title/tt0302436/,UK,2003,-,Mike Barker,2,Thomas Fairfax,Historical,Known,White,0,Male,Dougray Scott
To Walk with Lions,http://www.imdb.com/title/tt0132563/,Canada/UK,1999,-,Carl Schultz,2,George Adamson,Other,Unknown,,0,Male,Richard Harris
To Walk with Lions,http://www.imdb.com/title/tt0132563/,Canada/UK,1999,-,Carl Schultz,2,Tony Fitzjohn,Other,Unknown,,0,Male,John Michie
To Write Love on Her Arms,http://www.imdb.com/title/tt1850418/,US,2012,-,Nathan Frankowski,1,Renee Yohe,Other,Unknown,,0,Female,Kat Dennings
Tom & Viv,http://www.imdb.com/title/tt0111454/,US/UK,1994,$539K,Brian Gilbert,2,T.S. Eliot,Author,Known,White,0,Male,Willem Dafoe
Tom & Viv,http://www.imdb.com/title/tt0111454/,US/UK,1994,$539K,Brian Gilbert,2,Vivienne Haigh-Wood,Author,Known,White,0,Female,Miranda Richardson
Topsy-Turvy,http://www.imdb.com/title/tt0151568/,US/UK,1999,$6.2M,Mike Leigh,2,Arthur Sullivan,Musician,Known,White,0,Male,Allan Corduner
Topsy-Turvy,http://www.imdb.com/title/tt0151568/,US/UK,1999,$6.2M,Mike Leigh,2,William Schwenck Gilbert,Author,Known,White,0,Male,Jim Broadbent
Total Eclipse,http://www.imdb.com/title/tt0114702/,UK,1995,$340K,Agnieszka Holland,2,Arthur Rimbaud,Author (poet),Unknown,,0,Male,Leonardo DiCaprio
Total Eclipse,http://www.imdb.com/title/tt0114702/,UK,1995,$340K,Agnieszka Holland,2,Paul Verlaine,Author (poet),Unknown,,0,Male,David Thewlis
Triumph of the Spirit,http://www.imdb.com/title/tt0098513/,US,1989,$409K,Robert M. Young,1,Salamo Arouch,Athlete,Known,White,0,Male,Willem Dafoe
Tucker: The Man and His Dream,http://www.imdb.com/title/tt0096316/,US,1988,$19.7M,Francis Ford Coppola,1,Preston Tucker,Other,Unknown,,0,Male,Jeff Bridges
Unbroken,http://www.imdb.com/title/tt1809398/,US,2014,$116M,Angelina Jolie,1,Louis Zamperini,Athlete / military,Known,White,0,Male,Jack O'Connell
Valentino,http://www.imdb.com/title/tt0076868/,US/UK,1977,-,Ken Russell,1,Rudolph Valentino,Actor,Known,White,0,Male,Rudolf Nureyev
Vatel,http://www.imdb.com/title/tt0190861/,UK,2000,$49.5K,Roland Joff̩,1,Fran̤ois Vatel,Other,Known,White,0,Male,G̩rard Depardieu
Veronica Guerin,http://www.imdb.com/title/tt0312549/,US/UK,2003,$1.57M,Joel Schumacher,1,Veronica Guerin,Media,Known,White,0,Female,Cate Blanchett
Vincent & Theo,http://www.imdb.com/title/tt0100873/,UK,1990,$2.23M,Robert Altman,2,Theo van Gogh,Other,Known,White,0,Male,Paul Rhys
Vincent & Theo,http://www.imdb.com/title/tt0100873/,UK,1990,$2.23M,Robert Altman,2,Vincent Van Gogh,Artist,Known,White,0,Male,Tim Roth
VIPs,http://www.imdb.com/title/tt1235548/,US,2010,-,Toniko Melo,1,Marcelo Nascimento da Rocha,Criminal,Known,White,0,Male,Wagner Moura
Viva Knievel!,http://www.imdb.com/title/tt0076890/,US,1977,-,Gordon Douglas,1,Evel Knievel,Athlete,Known,White,0,Male,Evel Knievel
Viva Villa!,http://www.imdb.com/title/tt0025948/,US,1934,$1.11M,Jack Conway,1,Pancho Villa,Military,Known,Hispanic (Latin American),1,Male,Wallace Beery
Viva Zapata!,http://www.imdb.com/title/tt0045296/,US,1952,-,Elia Kazan,1,Emiliano Zapata,Activist,Known,Hispanic (Latin American),1,Male,Marlon Brando
Von Richthofen and Brown,http://www.imdb.com/title/tt0067658/,US,1971,-,Roger Corman,2,Manfred von Richtofen,Military,Known,White,0,Male,John Phillip Law
Von Richthofen and Brown,http://www.imdb.com/title/tt0067658/,US,1971,-,Roger Corman,2,Roy Brown,Military,Known,White,0,Male,Don Stroud
W.,http://www.imdb.com/title/tt1175491/,US,2008,$25.5M,Oliver Stone,1,George W. Bush,World leader,Known,White,0,Male,Josh Brolin
Walk the Line,http://www.imdb.com/title/tt0358273/,US,2005,$120M,James Mangold,1,Johnny Cash,Musician,Known,White,0,Male,Joaquin Phoenix
Walker,http://www.imdb.com/title/tt0096409/,US,1987,$257K,Alex Cox,1,William Walker,Other,Known,White,0,Male,Ed Harris
Walking Tall Part II,http://www.imdb.com/title/tt0073880/,US,1975,-,Earl Bellamy,1,Buford Pusser,Other,Unknown,,0,Male,Bo Svenson
What We Do Is Secret,http://www.imdb.com/title/tt0384683/,US,2007,$58.8K,Rodger Grossman,1,Darby Crash,Singer,Unknown,,0,Male,Shane West
What's Love Got to Do with It,http://www.imdb.com/title/tt0108551/,US,1993,$39.1M,Brian Gibson,1,Anna Mae Bullock (Tina Turner),Singer,Known,Multi racial,1,Female,Angela Bassett
When Did You Last See Your Father?,http://www.imdb.com/title/tt0829098/,UK,2007,$1.07M,Anand Tucker,1,Blake Morrison,Other,Known,White,0,Male,Colin Firth
Where the Buffalo Roam,http://www.imdb.com/title/tt0081748/,US,1980,-,Art Linson,1,Hunter S. Thompson,Media,Unknown,,0,Male,Bill Murray
WhiteLightnin',http://www.imdb.com/title/tt1034419/,UK,2009,-,Dominic Murphy,1,Jesco White,Other,Unknown,,0,Male,Edward Hogg
Why Do Fools Fall in Love,http://www.imdb.com/title/tt0123324/,US,1998,$12.4M,Gregory Nava,1,Frankie Lymon,Musician,Known,African American,1,Male,Larenz Tate
Wild,http://www.imdb.com/title/tt2305051/,US,2014,$37.9M,Jean-Marc Vall̩e,1,Cheryl Strayed,Other,Unknown,,0,Female,Reese Witherspoon
Wild Bill,http://www.imdb.com/title/tt0114938/,US,1995,$2.17M,Walter Hill,1,Wild Bill Hickok,Historical,Known,White,0,Male,Jeff Bridges
Wilde,http://www.imdb.com/title/tt0120514/,UK,1997,$2.16M,Brian Gilbert,1,Oscar Wilde,Author,Known,White,0,Male,Stephen Fry
Wilson,http://www.imdb.com/title/tt0037465/,US,1944,$2M,Henry King,1,Woodrow Wilson,World leader,Known,White,0,Male,Alexander Knox
Winnie Mandela,http://www.imdb.com/title/tt1551641/,Canada,2011,-,Darrell Roodt,1,Winnie Mandela,Government,Known,African,1,Female,Jennifer Hudson
Wired,http://www.imdb.com/title/tt0098660/,US,1989,$1.09M,Larry Peerce,1,John Belushi,Comedian,Unknown,,0,Male,Michael Chiklis
With a Song in My Heart,http://www.imdb.com/title/tt0045333/,US,1952,-,Walter Lang,1,Jane Froman,Musician,Unknown,,0,Female,Susan Hayward
Without Limits,http://www.imdb.com/title/tt0119934/,US,1998,$777K,Robert Towne,1,Steve Prefontaine,Athlete,Known,White,0,Male,Billy Crudup
Wittgenstein,http://www.imdb.com/title/tt0108583/,UK,1993,-,Derek Jarman,1,Ludwig Wittgenstein,Academic (Philosopher),Known,White,0,Male,Clancy Chassay
Words and Music,http://www.imdb.com/title/tt0040976/,US,1948,-,Norman Taurog,2,Lorenz Hart,Musician,Known,White,0,Male,Mickey Rooney
Words and Music,http://www.imdb.com/title/tt0040976/,US,1948,-,Norman Taurog,2,Richard Rogers,Musician,Known,White,0,Male,Tom Drake
Wyatt Earp,http://www.imdb.com/title/tt0111756/,US,1994,$25.1M,Lawrence Kasdan,1,Wyatt Earp ,Other,Known,White,0,Male,Kevin Costner
Yankee Doodle Dandy,http://www.imdb.com/title/tt0035575/,US,1942,-,Michael Curtiz,1,George M. Cohan,Musician,Known,White,0,Male,James Cagney
Young Bess,http://www.imdb.com/title/tt0046564/,US,1953,-,George Sidney,1,Elizabeth I,Historical,Known,White,0,Female,Jean Simmons
Young Cassidy,http://www.imdb.com/title/tt0059930/,UK,1965,-,Jack Cardiff,1,Sean O'Casey,Author,Known,White,0,Male,Rod Taylor
Young Man with a Horn,http://www.imdb.com/title/tt0043153/,US,1950,-,Michael Curtiz,1,Bix Beiderbecke,Musician,Known,White,0,Male,Kirk Douglas
Young Mr. Lincoln,http://www.imdb.com/title/tt0032155/,US,1939,-,John Ford,1,Abraham Lincoln,World leader,Known,White,0,Male,Henry Fonda
Young Tom Edison,http://www.imdb.com/title/tt0033289/,US,1940,-,Norman Taurog,1,Thomas Edison,Other,Known,White,0,Male,Mickey Rooney
Young Winston,http://www.imdb.com/title/tt0069528/,US,1972,-,Richard Attenborough,1,Winston Churchill,World leader,Known,White,0,Male,Simon Ward
Your Cheatin' Heart,http://www.imdb.com/title/tt0058765/,US,1964,-,Gene Nelson,1,Hank Williams,Musician,Unknown,,0,Male,George Hamilton
